食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,66.0,33.0,33.0,33.0,30.0,41.0,33.0,,41.0,33.0,,33.0,42.0,36.0,41.0
胡蘿蔔,66.0,43.0,41.0,41.0,35.0,50.0,50.0,,41.0,41.0,,25.0,25.0,36.0,41.0
麻竹筍,166.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
馬鈴薯,83.0,58.0,58.0,58.0,50.0,58.0,58.0,,50.0,58.0,,33.0,50.0,52.0,58.0
甘藍,41.0,43.0,30.0,41.0,25.0,41.0,50.0,,33.0,41.0,,33.0,25.0,34.0,41.0
小白菜,83.0,66.0,50.0,66.0,41.0,75.0,50.0,,50.0,66.0,,42.0,33.0,46.0,66.0
包心白菜,58.0,52.0,41.0,41.0,41.0,66.0,58.0,,41.0,50.0,,33.0,33.0,38.0,50.0
菠菜,83.0,67.0,58.0,66.0,50.0,83.0,58.0,,66.0,66.0,,50.0,33.0,48.0,66.0
青江白菜,83.0,67.0,50.0,66.0,41.0,83.0,50.0,,66.0,66.0,,42.0,33.0,46.0,66.0
空心菜,83.0,58.0,50.0,66.0,41.0,58.0,58.0,,83.0,75.0,,33.0,42.0,50.0,58.0
青蔥,100.0,83.0,67.0,75.0,67.0,83.0,67.0,,83.0,66.0,,67.0,42.0,64.0,66.0
韭菜,83.0,58.0,50.0,58.0,41.0,58.0,58.0,,66.0,58.0,,42.0,50.0,56.0,58.0
茄子,133.0,63.0,75.0,58.0,67.0,83.0,67.0,,66.0,66.0,,42.0,42.0,46.0,66.0
蕃茄,83.0,67.0,58.0,66.0,50.0,83.0,75.0,,58.0,66.0,,58.0,33.0,52.0,66.0
菜豆,133.0,83.0,75.0,0.0,67.0,100.0,83.0,,116.0,66.0,,67.0,0.0,70.0,66.0
