食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,,,,,,,,50.0,,,50.0,,42.0,,
胡蘿蔔,,,,,,,,41.0,,,45.0,,42.0,,
麻竹筍,,,,,,,,100.0,,,80.0,,83.0,,
馬鈴薯,,,,,,,,58.0,,,55.0,,67.0,,
甘藍,,,,,,,,67.0,,,50.0,,50.0,,
小白菜,,,,,,,,67.0,,,50.0,,50.0,,
包心白菜,,,,,,,,67.0,,,55.0,,33.0,,
菠菜,,,,,,,,150.0,,,125.0,,133.0,,
青江白菜,,,,,,,,67.0,,,70.0,,150.0,,
空心菜,,,,,,,,67.0,,,50.0,,58.0,,
青蔥,,,,,,,,67.0,,,48.0,,42.0,,
韭菜,,,,,,,,67.0,,,50.0,,30.0,,
茄子,,,,,,,,75.0,,,55.0,,25.0,,
蕃茄,,,,,,,,75.0,,,55.0,,92.0,,
菜豆,,,,,,,,91.0,,,70.0,,83.0,,
大黃瓜,,,,,,,,58.0,,,54.0,,30.0,,
花椰菜,,,,,,,,100.0,,,80.0,,30.0,,
絲瓜,,,,,,,,50.0,,,50.0,,50.0,,
花胡瓜,,,,,,,,83.0,,,70.0,,63.0,,
苦瓜,,,,,,,,83.0,,,67.0,,75.0,,
青椒,,,,,,,,83.0,,,60.0,,47.0,,
芹菜,,,,,,,,133.0,,,85.0,,92.0,,
四季豆,,,,,,,,150.0,,,100.0,,117.0,,
牛蒡,,,,,,,,83.0,,,80.0,,83.0,,
生薑,,,,,,,,100.0,,,75.0,,100.0,,
芋頭,,,,,,,,83.0,,,83.0,,67.0,,
綠竹筍,,,,,,,,167.0,,,0.0,,0.0,,
洋蔥,,,,,,,,41.0,,,38.0,,47.0,,
綠蘆筍,,,,,,,,250.0,,,220.0,,233.0,,
筊白筍,,,,,,,,200.0,,,167.0,,133.0,,
大芥菜,,,,,,,,67.0,,,60.0,,58.0,,
青蒜,,,,,,,,183.0,,,150.0,,100.0,,
蒜頭,,,,,,,,183.0,,,160.0,,167.0,,
甘藍芽,,,,,,,,150.0,,,0.0,,133.0,,
芥藍,,,,,,,,75.0,,,73.0,,83.0,,
莧菜,,,,,,,,67.0,,,60.0,,67.0,,
本島萵苣,,,,,,,,83.0,,,0.0,,50.0,,
萵苣,,,,,,,,75.0,,,0.0,,83.0,,
茼蒿,,,,,,,,0.0,,,0.0,,0.0,,
青花苔,,,,,,,,0.0,,,75.0,,0.0,,
金針菜乾,,,,,,,,533.0,,,0.0,,667.0,,
冬瓜,,,,,,,,41.0,,,35.0,,25.0,,
扁蒲,,,,,,,,58.0,,,33.0,,50.0,,
甜碗豆,,,,,,,,0.0,,,0.0,,142.0,,
碗豆,,,,,,,,0.0,,,0.0,,0.0,,
甜玉米,,,,,,,,58.0,,,58.0,,67.0,,
香菇乾,,,,,,,,1330.0,,,1000.0,,1250.0,,
香菇溼,,,,,,,,167.0,,,160.0,,150.0,,
黑色木耳,,,,,,,,100.0,,,100.0,,92.0,,
香蕉,,,,,,,,50.0,,,50.0,,48.0,,
鳳梨17號,,,,,,,,41.0,,,33.0,,32.0,,
番石榴世紀,,,,,,,,0.0,,,25.0,,33.0,,
木瓜,,,,,,,,41.0,,,37.0,,42.0,,
小西瓜,,,,,,,,25.0,,,20.0,,17.0,,
甜瓜,,,,,,,,67.0,,,75.0,,0.0,,
洋香瓜,,,,,,,,75.0,,,65.0,,39.0,,
海梨柑,,,,,,,,0.0,,,0.0,,0.0,,
文旦,,,,,,,,0.0,,,0.0,,0.0,,
柳橙,,,,,,,,0.0,,,42.0,,58.0,,
椪柑,,,,,,,,0.0,,,0.0,,0.0,,
楊桃,,,,,,,,0.0,,,58.0,,0.0,,
蓮霧,,,,,,,,117.0,,,83.0,,148.0,,
鶯歌桃,,,,,,,,100.0,,,0.0,,50.0,,
紅柿子,,,,,,,,0.0,,,0.0,,0.0,,
巨峰葡萄,,,,,,,,150.0,,,115.0,,150.0,,
黑葉荔枝,,,,,,,,0.0,,,0.0,,98.0,,
在來芒果,,,,,,,,0.0,,,0.0,,98.0,,
新世紀梨,,,,,,,,0.0,,,110.0,,0.0,,
棗子,,,,,,,,0.0,,,0.0,,0.0,,
紅肉李,,,,,,,,117.0,,,0.0,,98.0,,
玉李,,,,,,,,0.0,,,0.0,,0.0,,
荔枝玉荷,,,,,,,,150.0,,,142.0,,158.0,,
鳳梨開英,,,,,,,,0.0,,,0.0,,0.0,,
桶柑,,,,,,,,0.0,,,0.0,,0.0,,
檸檬,,,,,,,,67.0,,,75.0,,65.0,,
茂谷柑,,,,,,,,100.0,,,83.0,,115.0,,
白柚,,,,,,,,0.0,,,0.0,,0.0,,
甜桃,,,,,,,,100.0,,,0.0,,133.0,,
水蜜桃,,,,,,,,200.0,,,0.0,,167.0,,
牛心柿,,,,,,,,0.0,,,0.0,,0.0,,
甜柿,,,,,,,,0.0,,,0.0,,0.0,,
橫山梨,,,,,,,,0.0,,,0.0,,0.0,,
新興梨,,,,,,,,0.0,,,116.0,,0.0,,
大西瓜,,,,,,,,25.0,,,25.0,,22.0,,
無子西瓜,,,,,,,,0.0,,,0.0,,0.0,,
枇杷,,,,,,,,0.0,,,0.0,,0.0,,
番石榴珍珠,,,,,,,,50.0,,,25.0,,33.0,,
金煌芒果,,,,,,,,100.0,,,125.0,,98.0,,
愛文芒果,,,,,,,,117.0,,,158.0,,98.0,,
釋迦,,,,,,,,100.0,,,0.0,,0.0,,
龍眼,,,,,,,,0.0,,,0.0,,0.0,,
虱目魚,,,,,,,,150.0,,,0.0,,133.0,,
吳郭魚,,,,,,,,133.0,,,0.0,,100.0,,
