食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,66.0,46.0,41.0,50.0,41.0,41.0,58.0,50.0,50.0,50.0,45.0,37.0,58.0,52.0,58.0
胡蘿蔔,66.0,41.0,33.0,41.0,33.0,41.0,50.0,41.0,41.0,50.0,30.0,25.0,25.0,36.0,25.0
麻竹筍,100.0,100.0,108.0,83.0,117.0,100.0,83.0,117.0,83.0,83.0,58.0,0.0,67.0,0.0,67.0
馬鈴薯,66.0,50.0,50.0,58.0,41.0,50.0,58.0,50.0,58.0,58.0,50.0,33.0,58.0,50.0,58.0
甘藍,41.0,58.0,50.0,58.0,41.0,50.0,67.0,58.0,66.0,58.0,50.0,50.0,50.0,50.0,50.0
小白菜,83.0,56.0,50.0,58.0,41.0,83.0,83.0,50.0,66.0,66.0,60.0,42.0,50.0,48.0,50.0
包心白菜,83.0,58.0,67.0,66.0,58.0,50.0,83.0,67.0,66.0,66.0,56.0,58.0,42.0,56.0,42.0
菠菜,166.0,133.0,100.0,150.0,83.0,166.0,167.0,100.0,133.0,166.0,130.0,92.0,133.0,126.0,133.0
青江白菜,83.0,66.0,50.0,83.0,41.0,66.0,83.0,58.0,66.0,66.0,60.0,40.0,50.0,52.0,50.0
空心菜,83.0,58.0,35.0,50.0,33.0,50.0,58.0,35.0,66.0,41.0,33.0,33.0,33.0,38.0,33.0
青蔥,83.0,83.0,67.0,83.0,58.0,66.0,75.0,67.0,66.0,66.0,60.0,58.0,50.0,53.0,50.0
韭菜,100.0,58.0,58.0,50.0,58.0,50.0,67.0,58.0,66.0,58.0,50.0,42.0,58.0,53.0,58.0
茄子,100.0,66.0,67.0,66.0,58.0,58.0,67.0,67.0,83.0,50.0,43.0,42.0,33.0,49.0,33.0
蕃茄,133.0,75.0,58.0,66.0,50.0,66.0,83.0,67.0,83.0,66.0,50.0,42.0,67.0,50.0,67.0
菜豆,125.0,83.0,75.0,66.0,75.0,83.0,83.0,83.0,66.0,83.0,60.0,67.0,58.0,0.0,58.0
大黃瓜,66.0,50.0,41.0,41.0,33.0,41.0,50.0,41.0,50.0,50.0,44.0,37.0,50.0,43.0,50.0
花椰菜,166.0,83.0,117.0,116.0,100.0,116.0,117.0,125.0,133.0,116.0,120.0,92.0,83.0,92.0,83.0
絲瓜,58.0,41.0,41.0,50.0,33.0,41.0,50.0,41.0,41.0,41.0,42.0,37.0,42.0,40.0,42.0
花胡瓜,125.0,67.0,67.0,83.0,67.0,58.0,83.0,75.0,100.0,66.0,50.0,42.0,67.0,62.0,67.0
苦瓜,83.0,72.0,58.0,66.0,50.0,83.0,83.0,67.0,75.0,58.0,56.0,42.0,50.0,53.0,50.0
青椒,100.0,67.0,67.0,75.0,58.0,83.0,83.0,75.0,100.0,83.0,70.0,67.0,67.0,65.0,67.0
芹菜,166.0,110.0,108.0,116.0,100.0,83.0,117.0,117.0,133.0,133.0,120.0,83.0,100.0,102.0,100.0
四季豆,200.0,117.0,150.0,116.0,133.0,116.0,133.0,167.0,200.0,150.0,133.0,100.0,117.0,0.0,117.0
牛蒡,125.0,83.0,58.0,83.0,66.0,83.0,75.0,100.0,83.0,83.0,76.0,58.0,83.0,78.0,83.0
生薑,133.0,116.0,100.0,116.0,83.0,100.0,100.0,100.0,116.0,150.0,100.0,100.0,100.0,102.0,100.0
芋頭,100.0,83.0,83.0,83.0,83.0,83.0,83.0,100.0,83.0,83.0,100.0,75.0,83.0,82.0,83.0
綠竹筍,166.0,0.0,0.0,100.0,0.0,0.0,100.0,117.0,0.0,100.0,67.0,0.0,0.0,0.0,0.0
洋蔥,66.0,50.0,41.0,50.0,33.0,41.0,50.0,41.0,50.0,50.0,40.0,25.0,42.0,43.0,42.0
綠蘆筍,267.0,233.0,0.0,233.0,0.0,0.0,233.0,0.0,0.0,233.0,220.0,133.0,0.0,0.0,0.0
筊白筍,233.0,183.0,150.0,200.0,133.0,200.0,183.0,167.0,200.0,183.0,133.0,183.0,150.0,0.0,150.0
大芥菜,100.0,67.0,50.0,0.0,41.0,50.0,83.0,50.0,0.0,0.0,55.0,0.0,58.0,0.0,58.0
青蒜,333.0,233.0,317.0,300.0,300.0,233.0,300.0,333.0,366.0,300.0,200.0,0.0,367.0,0.0,367.0
蒜頭,150.0,133.0,100.0,166.0,100.0,166.0,100.0,133.0,166.0,150.0,136.0,100.0,100.0,102.0,100.0
