食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,,,,83.0,,,,,,,,,,,
胡蘿蔔,,,,66.0,,,,,,,,,,,
麻竹筍,,,,100.0,,,,,,,,,,,
馬鈴薯,,,,66.0,,,,,,,,,,,
甘藍,,,,83.0,,,,,,,,,,,
小白菜,,,,100.0,,,,,,,,,,,
包心白菜,,,,91.0,,,,,,,,,,,
菠菜,,,,216.0,,,,,,,,,,,
青江白菜,,,,100.0,,,,,,,,,,,
空心菜,,,,58.0,,,,,,,,,,,
青蔥,,,,100.0,,,,,,,,,,,
韭菜,,,,66.0,,,,,,,,,,,
茄子,,,,83.0,,,,,,,,,,,
蕃茄,,,,100.0,,,,,,,,,,,
菜豆,,,,116.0,,,,,,,,,,,
大黃瓜,,,,66.0,,,,,,,,,,,
花椰菜,,,,0.0,,,,,,,,,,,
絲瓜,,,,50.0,,,,,,,,,,,
花胡瓜,,,,116.0,,,,,,,,,,,
苦瓜,,,,91.0,,,,,,,,,,,
青椒,,,,100.0,,,,,,,,,,,
芹菜,,,,133.0,,,,,,,,,,,
四季豆,,,,200.0,,,,,,,,,,,
牛蒡,,,,83.0,,,,,,,,,,,
生薑,,,,133.0,,,,,,,,,,,
芋頭,,,,116.0,,,,,,,,,,,
綠竹筍,,,,0.0,,,,,,,,,,,
洋蔥,,,,58.0,,,,,,,,,,,
綠蘆筍,,,,0.0,,,,,,,,,,,
筊白筍,,,,233.0,,,,,,,,,,,
大芥菜,,,,0.0,,,,,,,,,,,
青蒜,,,,250.0,,,,,,,,,,,
蒜頭,,,,333.0,,,,,,,,,,,
甘藍芽,,,,0.0,,,,,,,,,,,
芥藍,,,,91.0,,,,,,,,,,,
莧菜,,,,75.0,,,,,,,,,,,
本島萵苣,,,,100.0,,,,,,,,,,,
萵苣,,,,100.0,,,,,,,,,,,
茼蒿,,,,0.0,,,,,,,,,,,
青花苔,,,,0.0,,,,,,,,,,,
金針菜乾,,,,800.0,,,,,,,,,,,
冬瓜,,,,50.0,,,,,,,,,,,
扁蒲,,,,50.0,,,,,,,,,,,
甜碗豆,,,,0.0,,,,,,,,,,,
碗豆,,,,0.0,,,,,,,,,,,
甜玉米,,,,83.0,,,,,,,,,,,
香菇乾,,,,1666.0,,,,,,,,,,,
香菇溼,,,,200.0,,,,,,,,,,,
黑色木耳,,,,116.0,,,,,,,,,,,
香蕉,,,,,,,,,,,,,,,
鳳梨17號,,,,,,,,,,,,,,,
番石榴世紀,,,,,,,,,,,,,,,
木瓜,,,,,,,,,,,,,,,
小西瓜,,,,,,,,,,,,,,,
甜瓜,,,,,,,,,,,,,,,
洋香瓜,,,,,,,,,,,,,,,
海梨柑,,,,,,,,,,,,,,,
文旦,,,,,,,,,,,,,,,
柳橙,,,,,,,,,,,,,,,
椪柑,,,,,,,,,,,,,,,
楊桃,,,,,,,,,,,,,,,
蓮霧,,,,,,,,,,,,,,,
鶯歌桃,,,,,,,,,,,,,,,
紅柿子,,,,,,,,,,,,,,,
巨峰葡萄,,,,,,,,,,,,,,,
黑葉荔枝,,,,,,,,,,,,,,,
在來芒果,,,,,,,,,,,,,,,
新世紀梨,,,,,,,,,,,,,,,
棗子,,,,,,,,,,,,,,,
紅肉李,,,,,,,,,,,,,,,
玉李,,,,,,,,,,,,,,,
荔枝玉荷,,,,,,,,,,,,,,,
鳳梨開英,,,,,,,,,,,,,,,
桶柑,,,,,,,,,,,,,,,
檸檬,,,,,,,,,,,,,,,
茂谷柑,,,,,,,,,,,,,,,
白柚,,,,,,,,,,,,,,,
甜桃,,,,,,,,,,,,,,,
水蜜桃,,,,,,,,,,,,,,,
牛心柿,,,,,,,,,,,,,,,
甜柿,,,,,,,,,,,,,,,
橫山梨,,,,,,,,,,,,,,,
新興梨,,,,,,,,,,,,,,,
大西瓜,,,,,,,,,,,,,,,
無子西瓜,,,,,,,,,,,,,,,
枇杷,,,,,,,,,,,,,,,
番石榴珍珠,,,,,,,,,,,,,,,
金煌芒果,,,,,,,,,,,,,,,
愛文芒果,,,,,,,,,,,,,,,
釋迦,,,,,,,,,,,,,,,
