食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,,,,,,,,,,,,,,,42.0
胡蘿蔔,,,,,,,,,,,,,,,33.0
麻竹筍,,,,,,,,,,,,,,,0.0
馬鈴薯,,,,,,,,,,,,,,,67.0
甘藍,,,,,,,,,,,,,,,25.0
小白菜,,,,,,,,,,,,,,,58.0
包心白菜,,,,,,,,,,,,,,,33.0
菠菜,,,,,,,,,,,,,,,67.0
青江白菜,,,,,,,,,,,,,,,58.0
空心菜,,,,,,,,,,,,,,,50.0
青蔥,,,,,,,,,,,,,,,50.0
韭菜,,,,,,,,,,,,,,,0.6
茄子,,,,,,,,,,,,,,,58.0
蕃茄,,,,,,,,,,,,,,,67.0
菜豆,,,,,,,,,,,,,,,67.0
大黃瓜,,,,,,,,,,,,,,,50.0
花椰菜,,,,,,,,,,,,,,,58.0
絲瓜,,,,,,,,,,,,,,,67.0
花胡瓜,,,,,,,,,,,,,,,67.0
苦瓜,,,,,,,,,,,,,,,83.0
青椒,,,,,,,,,,,,,,,67.0
芹菜,,,,,,,,,,,,,,,100.0
四季豆,,,,,,,,,,,,,,,83.0
牛蒡,,,,,,,,,,,,,,,83.0
生薑,,,,,,,,,,,,,,,75.0
芋頭,,,,,,,,,,,,,,,83.0
綠竹筍,,,,,,,,,,,,,,,0.0
洋蔥,,,,,,,,,,,,,,,50.0
綠蘆筍,,,,,,,,,,,,,,,0.0
筊白筍,,,,,,,,,,,,,,,0.0
大芥菜,,,,,,,,,,,,,,,50.0
青蒜,,,,,,,,,,,,,,,117.0
蒜頭,,,,,,,,,,,,,,,200.0
甘藍芽,,,,,,,,,,,,,,,100.0
芥藍,,,,,,,,,,,,,,,58.0
莧菜,,,,,,,,,,,,,,,58.0
本島萵苣,,,,,,,,,,,,,,,50.0
萵苣,,,,,,,,,,,,,,,42.0
茼蒿,,,,,,,,,,,,,,,83.0
青花苔,,,,,,,,,,,,,,,67.0
金針菜乾,,,,,,,,,,,,,,,750.0
冬瓜,,,,,,,,,,,,,,,33.0
