食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,66.0,41.0,50.0,41.0,33.0,41.0,42.0,50.0,50.0,41.0,33.0,38.0,42.0,40.0,
胡蘿蔔,83.0,60.0,41.0,58.0,50.0,41.0,42.0,50.0,50.0,58.0,50.0,55.0,67.0,56.0,
麻竹筍,166.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,
馬鈴薯,83.0,58.0,50.0,58.0,50.0,58.0,58.0,58.0,67.0,58.0,60.0,58.0,67.0,56.0,
甘藍,58.0,52.0,41.0,41.0,41.0,41.0,42.0,58.0,67.0,33.0,33.0,33.0,33.0,36.0,
小白菜,100.0,72.0,66.0,83.0,50.0,50.0,50.0,66.0,50.0,83.0,45.0,63.0,50.0,67.0,
包心白菜,83.0,50.0,58.0,50.0,50.0,41.0,42.0,66.0,67.0,58.0,55.0,50.0,58.0,50.0,
菠菜,116.0,96.0,83.0,83.0,83.0,66.0,67.0,91.0,83.0,83.0,50.0,75.0,50.0,78.0,
青江白菜,100.0,75.0,66.0,83.0,58.0,50.0,50.0,66.0,83.0,83.0,42.0,66.0,42.0,68.0,
空心菜,83.0,83.0,75.0,75.0,58.0,75.0,75.0,83.0,83.0,83.0,67.0,66.0,67.0,66.0,
青蔥,116.0,83.0,66.0,75.0,50.0,50.0,50.0,66.0,67.0,66.0,45.0,60.0,50.0,62.0,
韭菜,100.0,50.0,50.0,50.0,41.0,50.0,50.0,50.0,67.0,50.0,50.0,50.0,50.0,50.0,
茄子,133.0,70.0,58.0,66.0,50.0,58.0,58.0,66.0,67.0,66.0,60.0,55.0,58.0,63.0,
蕃茄,100.0,83.0,41.0,50.0,41.0,50.0,50.0,41.0,50.0,41.0,33.0,41.0,42.0,45.0,
菜豆,133.0,100.0,83.0,83.0,66.0,67.0,67.0,91.0,83.0,83.0,0.0,0.0,83.0,0.0,
大黃瓜,75.0,46.0,50.0,50.0,41.0,50.0,50.0,50.0,50.0,50.0,50.0,45.0,58.0,50.0,
