食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,66.0,50.0,41.0,50.0,33.0,33.0,33.0,41.0,50.0,41.0,43.0,43.0,42.0,42.0,41.0
胡蘿蔔,66.0,56.0,33.0,41.0,33.0,33.0,33.0,41.0,50.0,50.0,48.0,50.0,58.0,50.0,50.0
麻竹筍,83.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
馬鈴薯,83.0,58.0,50.0,58.0,50.0,50.0,50.0,58.0,67.0,58.0,60.0,58.0,50.0,56.0,58.0
甘藍,66.0,50.0,58.0,50.0,50.0,50.0,50.0,66.0,50.0,50.0,42.0,50.0,42.0,50.0,50.0
小白菜,66.0,66.0,58.0,66.0,50.0,42.0,42.0,66.0,50.0,66.0,40.0,63.0,33.0,52.0,66.0
包心白菜,83.0,56.0,58.0,58.0,41.0,50.0,50.0,58.0,58.0,66.0,55.0,55.0,50.0,52.0,66.0
菠菜,100.0,83.0,75.0,66.0,66.0,58.0,58.0,83.0,75.0,66.0,50.0,66.0,50.0,60.0,66.0
青江白菜,83.0,71.0,58.0,66.0,58.0,42.0,42.0,58.0,67.0,66.0,36.0,66.0,42.0,50.0,66.0
空心菜,100.0,83.0,75.0,75.0,58.0,67.0,67.0,83.0,83.0,83.0,63.0,70.0,67.0,68.0,83.0
青蔥,83.0,75.0,66.0,66.0,50.0,50.0,50.0,66.0,58.0,66.0,45.0,55.0,50.0,52.0,66.0
韭菜,83.0,50.0,41.0,50.0,41.0,50.0,50.0,41.0,67.0,50.0,50.0,50.0,50.0,50.0,50.0
茄子,100.0,67.0,58.0,58.0,41.0,50.0,50.0,66.0,67.0,50.0,55.0,45.0,50.0,51.0,50.0
蕃茄,83.0,58.0,41.0,50.0,41.0,33.0,33.0,41.0,50.0,41.0,33.0,41.0,42.0,40.0,41.0
菜豆,100.0,91.0,75.0,83.0,66.0,67.0,67.0,91.0,116.0,0.0,0.0,0.0,83.0,0.0,0.0
大黃瓜,66.0,50.0,41.0,50.0,41.0,33.0,33.0,41.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
花椰菜,117.0,75.0,66.0,66.0,66.0,67.0,67.0,66.0,83.0,66.0,70.0,66.0,67.0,66.0,66.0
絲瓜,83.0,47.0,71.0,50.0,41.0,42.0,42.0,41.0,50.0,50.0,40.0,55.0,42.0,45.0,50.0
花胡瓜,100.0,66.0,66.0,75.0,50.0,50.0,50.0,75.0,83.0,66.0,45.0,58.0,42.0,52.0,66.0
苦瓜,117.0,83.0,83.0,75.0,58.0,75.0,75.0,100.0,100.0,75.0,67.0,83.0,67.0,65.0,75.0
青椒,100.0,67.0,75.0,66.0,50.0,58.0,58.0,83.0,83.0,83.0,60.0,66.0,67.0,65.0,83.0
芹菜,117.0,83.0,75.0,83.0,66.0,67.0,67.0,75.0,100.0,83.0,70.0,70.0,100.0,80.0,83.0
四季豆,166.0,100.0,100.0,91.0,83.0,100.0,100.0,117.0,133.0,100.0,100.0,116.0,100.0,100.0,116.0
牛蒡,83.0,83.0,83.0,83.0,66.0,67.0,67.0,83.0,83.0,83.0,90.0,66.0,83.0,80.0,83.0
生薑,133.0,100.0,83.0,100.0,75.0,83.0,83.0,83.0,116.0,100.0,75.0,91.0,58.0,80.0,100.0
芋頭,117.0,83.0,83.0,91.0,75.0,83.0,83.0,91.0,100.0,83.0,83.0,91.0,83.0,80.0,83.0
綠竹筍,166.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
洋蔥,66.0,50.0,41.0,50.0,33.0,42.0,42.0,41.0,58.0,50.0,33.0,41.0,42.0,40.0,50.0
綠蘆筍,300.0,230.0,0.0,0.0,250.0,0.0,0.0,0.0,150.0,300.0,0.0,0.0,0.0,0.0,300.0
筊白筍,200.0,183.0,200.0,183.0,183.0,217.0,217.0,217.0,216.0,200.0,0.0,0.0,0.0,0.0,200.0
大芥菜,100.0,67.0,58.0,66.0,58.0,58.0,58.0,58.0,58.0,66.0,40.0,58.0,42.0,50.0,66.0
青蒜,166.0,167.0,116.0,150.0,150.0,100.0,100.0,133.0,167.0,100.0,220.0,166.0,100.0,160.0,100.0
蒜頭,200.0,200.0,200.0,200.0,166.0,167.0,167.0,200.0,200.0,200.0,150.0,150.0,100.0,170.0,200.0
甘藍芽,200.0,108.0,100.0,116.0,83.0,133.0,133.0,117.0,133.0,100.0,0.0,116.0,108.0,0.0,116.0
芥藍,100.0,83.0,66.0,83.0,66.0,58.0,58.0,66.0,83.0,83.0,60.0,66.0,42.0,58.0,83.0
莧菜,100.0,67.0,58.0,75.0,58.0,67.0,67.0,66.0,75.0,66.0,60.0,66.0,58.0,58.0,66.0
本島萵苣,100.0,72.0,75.0,66.0,66.0,83.0,83.0,75.0,100.0,66.0,60.0,66.0,67.0,65.0,66.0
萵苣,100.0,75.0,66.0,66.0,66.0,50.0,50.0,66.0,83.0,66.0,55.0,66.0,58.0,0.0,66.0
茼蒿,133.0,83.0,83.0,91.0,83.0,83.0,83.0,83.0,83.0,83.0,90.0,83.0,100.0,90.0,83.0
青花苔,133.0,75.0,66.0,66.0,75.0,83.0,83.0,66.0,100.0,66.0,75.0,75.0,83.0,80.0,66.0
金針菜乾,533.0,533.0,533.0,533.0,533.0,580.0,580.0,533.0,533.0,533.0,533.0,466.0,667.0,0.0,533.0
冬瓜,50.0,43.0,33.0,33.0,33.0,33.0,33.0,33.0,42.0,41.0,30.0,30.0,33.0,32.0,41.0
扁蒲,66.0,41.0,0.0,41.0,33.0,33.0,33.0,0.0,33.0,50.0,20.0,0.0,33.0,0.0,50.0
甜碗豆,200.0,133.0,116.0,133.0,133.0,133.0,133.0,133.0,133.0,116.0,133.0,133.0,133.0,0.0,116.0
碗豆,200.0,150.0,133.0,150.0,133.0,133.0,133.0,133.0,133.0,116.0,150.0,133.0,100.0,0.0,116.0
甜玉米,100.0,55.0,50.0,50.0,50.0,50.0,50.0,50.0,67.0,50.0,38.0,50.0,50.0,47.0,50.0
香菇乾,833.0,833.0,833.0,833.0,850.0,833.0,833.0,833.0,833.0,910.0,833.0,1066.0,1200.0,0.0,1166.0
香菇溼,200.0,150.0,150.0,150.0,125.0,150.0,150.0,166.0,150.0,150.0,150.0,141.0,150.0,150.0,150.0
