食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,58.0,47.0,41.0,50.0,41.0,41.0,42.0,41.0,50.0,50.0,38.0,33.0,50.0,42.0,50.0
胡蘿蔔,58.0,50.0,30.0,50.0,33.0,41.0,33.0,41.0,41.0,50.0,30.0,25.0,25.0,38.0,25.0
麻竹筍,133.0,0.0,0.0,0.0,100.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
馬鈴薯,66.0,58.0,41.0,58.0,41.0,50.0,42.0,50.0,50.0,58.0,51.0,41.0,50.0,51.0,50.0
甘藍,50.0,42.0,41.0,41.0,33.0,41.0,42.0,50.0,58.0,41.0,30.0,30.0,33.0,38.0,33.0
小白菜,83.0,58.0,67.0,66.0,50.0,50.0,50.0,67.0,66.0,66.0,51.0,47.0,50.0,55.0,50.0
包心白菜,66.0,50.0,41.0,41.0,41.0,41.0,42.0,50.0,58.0,50.0,50.0,46.0,42.0,50.0,42.0
菠菜,100.0,67.0,83.0,66.0,67.0,66.0,67.0,83.0,83.0,83.0,58.0,67.0,67.0,65.0,67.0
青江白菜,83.0,66.0,67.0,66.0,58.0,50.0,42.0,75.0,66.0,66.0,48.0,42.0,50.0,55.0,50.0
空心菜,83.0,50.0,41.0,41.0,36.0,50.0,33.0,41.0,66.0,33.0,43.0,33.0,42.0,40.0,42.0
青蔥,83.0,67.0,67.0,66.0,67.0,50.0,33.0,75.0,50.0,66.0,52.0,58.0,50.0,60.0,50.0
韭菜,83.0,58.0,50.0,58.0,41.0,50.0,50.0,58.0,66.0,58.0,48.0,41.0,58.0,50.0,58.0
茄子,100.0,63.0,58.0,58.0,58.0,58.0,67.0,58.0,83.0,50.0,50.0,30.0,42.0,50.0,42.0
蕃茄,100.0,58.0,50.0,50.0,41.0,50.0,50.0,50.0,83.0,50.0,45.0,50.0,50.0,47.0,50.0
菜豆,117.0,92.0,67.0,83.0,67.0,83.0,100.0,75.0,83.0,66.0,0.0,75.0,67.0,0.0,67.0
大黃瓜,58.0,50.0,33.0,50.0,33.0,41.0,33.0,33.0,41.0,33.0,40.0,25.0,50.0,35.0,50.0
花椰菜,100.0,72.0,75.0,75.0,67.0,66.0,67.0,75.0,83.0,66.0,68.0,67.0,83.0,68.0,83.0
絲瓜,66.0,43.0,33.0,41.0,25.0,41.0,42.0,33.0,50.0,33.0,40.0,42.0,50.0,38.0,50.0
花胡瓜,100.0,67.0,67.0,83.0,58.0,58.0,50.0,75.0,83.0,66.0,50.0,50.0,67.0,55.0,67.0
苦瓜,83.0,83.0,75.0,66.0,67.0,83.0,75.0,83.0,83.0,66.0,55.0,50.0,67.0,65.0,67.0
青椒,100.0,67.0,58.0,75.0,67.0,83.0,50.0,67.0,66.0,66.0,50.0,41.0,58.0,62.0,58.0
芹菜,133.0,92.0,83.0,100.0,83.0,83.0,75.0,92.0,83.0,100.0,100.0,83.0,100.0,100.0,100.0
四季豆,133.0,116.0,100.0,116.0,83.0,116.0,83.0,100.0,133.0,100.0,100.0,108.0,117.0,102.0,117.0
牛蒡,100.0,83.0,58.0,83.0,66.0,83.0,50.0,100.0,83.0,83.0,76.0,58.0,83.0,80.0,83.0
生薑,166.0,116.0,100.0,116.0,83.0,100.0,100.0,100.0,166.0,100.0,108.0,166.0,83.0,100.0,83.0
芋頭,100.0,83.0,83.0,83.0,83.0,83.0,75.0,83.0,83.0,75.0,82.0,75.0,83.0,80.0,83.0
綠竹筍,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0
