食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,,,,,,50.0,,,,,50.0,,58.0,,58.0
胡蘿蔔,,,,,,58.0,,,,,50.0,,42.0,,66.0
麻竹筍,,,,,,0.0,,,,,0.0,,0.0,,0.0
馬鈴薯,,,,,,58.0,,,,,47.0,,42.0,,58.0
甘藍,,,,,,83.0,,,,,75.0,,67.0,,83.0
小白菜,,,,,,83.0,,,,,70.0,,58.0,,83.0
包心白菜,,,,,,83.0,,,,,80.0,,67.0,,83.0
菠菜,,,,,,83.0,,,,,90.0,,75.0,,83.0
青江白菜,,,,,,66.0,,,,,70.0,,67.0,,83.0
空心菜,,,,,,66.0,,,,,65.0,,50.0,,66.0
青蔥,,,,,,100.0,,,,,110.0,,100.0,,133.0
韭菜,,,,,,66.0,,,,,62.0,,58.0,,83.0
茄子,,,,,,83.0,,,,,75.0,,67.0,,83.0
蕃茄,,,,,,83.0,,,,,65.0,,42.0,,83.0
菜豆,,,,,,0.0,,,,,0.0,,0.0,,0.0
大黃瓜,,,,,,75.0,,,,,74.0,,58.0,,116.0
花椰菜,,,,,,83.0,,,,,83.0,,0.0,,116.0
絲瓜,,,,,,58.0,,,,,72.0,,67.0,,83.0
花胡瓜,,,,,,116.0,,,,,110.0,,117.0,,116.0
苦瓜,,,,,,116.0,,,,,0.0,,108.0,,166.0
青椒,,,,,,116.0,,,,,90.0,,83.0,,133.0
芹菜,,,,,,116.0,,,,,110.0,,100.0,,133.0
四季豆,,,,,,166.0,,,,,0.0,,117.0,,166.0
牛蒡,,,,,,83.0,,,,,78.0,,83.0,,83.0
生薑,,,,,,133.0,,,,,110.0,,133.0,,133.0
芋頭,,,,,,100.0,,,,,85.0,,100.0,,100.0
綠竹筍,,,,,,0.0,,,,,0.0,,0.0,,0.0
洋蔥,,,,,,66.0,,,,,46.0,,42.0,,66.0
綠蘆筍,,,,,,0.0,,,,,0.0,,0.0,,0.0
筊白筍,,,,,,233.0,,,,,0.0,,0.0,,250.0
大芥菜,,,,,,83.0,,,,,65.0,,50.0,,100.0
青蒜,,,,,,200.0,,,,,136.0,,133.0,,200.0
蒜頭,,,,,,166.0,,,,,160.0,,200.0,,250.0
甘藍芽,,,,,,0.0,,,,,0.0,,0.0,,0.0
芥藍,,,,,,83.0,,,,,76.0,,67.0,,100.0
莧菜,,,,,,66.0,,,,,80.0,,67.0,,83.0
本島萵苣,,,,,,0.0,,,,,0.0,,58.0,,100.0
萵苣,,,,,,83.0,,,,,0.0,,0.0,,100.0
茼蒿,,,,,,116.0,,,,,100.0,,92.0,,100.0
青花苔,,,,,,0.0,,,,,0.0,,0.0,,133.0
金針菜乾,,,,,,533.0,,,,,0.0,,750.0,,800.0
冬瓜,,,,,,58.0,,,,,42.0,,50.0,,50.0
扁蒲,,,,,,0.0,,,,,0.0,,0.0,,0.0
甜碗豆,,,,,,300.0,,,,,200.0,,0.0,,200.0
碗豆,,,,,,133.0,,,,,200.0,,0.0,,200.0
甜玉米,,,,,,100.0,,,,,85.0,,100.0,,100.0
香菇乾,,,,,,1660.0,,,,,0.0,,1250.0,,1667.0
香菇溼,,,,,,200.0,,,,,165.0,,200.0,,200.0
黑色木耳,,,,,,116.0,,,,,112.0,,117.0,,116.0
香蕉,,,,,,83.0,,,,,92.0,,108.0,,83.0
鳳梨17號,,,,,,41.0,,,,,50.0,,42.0,,41.0
番石榴世紀,,,,,,0.0,,,,,42.0,,82.0,,66.0
木瓜,,,,,,66.0,,,,,58.0,,65.0,,66.0
小西瓜,,,,,,41.0,,,,,0.0,,37.0,,0.0
甜瓜,,,,,,0.0,,,,,80.0,,132.0,,0.0
洋香瓜,,,,,,83.0,,,,,85.0,,132.0,,83.0
海梨柑,,,,,,0.0,,,,,0.0,,0.0,,0.0
文旦,,,,,,0.0,,,,,0.0,,0.0,,0.0
柳橙,,,,,,41.0,,,,,75.0,,65.0,,50.0
椪柑,,,,,,83.0,,,,,0.0,,82.0,,0.0
楊桃,,,,,,0.0,,,,,0.0,,65.0,,0.0
蓮霧,,,,,,116.0,,,,,166.0,,158.0,,0.0
鶯歌桃,,,,,,0.0,,,,,0.0,,0.0,,0.0
紅柿子,,,,,,0.0,,,,,0.0,,0.0,,0.0
巨峰葡萄,,,,,,166.0,,,,,140.0,,217.0,,166.0
黑葉荔枝,,,,,,0.0,,,,,0.0,,0.0,,0.0
在來芒果,,,,,,0.0,,,,,0.0,,200.0,,0.0
新世紀梨,,,,,,0.0,,,,,150.0,,115.0,,0.0
棗子,,,,,,100.0,,,,,0.0,,132.0,,100.0
紅肉李,,,,,,0.0,,,,,0.0,,165.0,,0.0
玉李,,,,,,0.0,,,,,0.0,,0.0,,0.0
荔枝玉荷,,,,,,0.0,,,,,0.0,,0.0,,0.0
鳳梨開英,,,,,,0.0,,,,,0.0,,0.0,,0.0
桶柑,,,,,,83.0,,,,,0.0,,82.0,,0.0
檸檬,,,,,,50.0,,,,,58.0,,58.0,,50.0
茂谷柑,,,,,,100.0,,,,,0.0,,115.0,,83.0
白柚,,,,,,0.0,,,,,0.0,,0.0,,0.0
甜桃,,,,,,0.0,,,,,0.0,,183.0,,0.0
水蜜桃,,,,,,0.0,,,,,0.0,,400.0,,0.0
牛心柿,,,,,,0.0,,,,,0.0,,0.0,,0.0
甜柿,,,,,,0.0,,,,,0.0,,0.0,,0.0
橫山梨,,,,,,0.0,,,,,0.0,,115.0,,0.0
新興梨,,,,,,0.0,,,,,150.0,,98.0,,0.0
大西瓜,,,,,,0.0,,,,,0.0,,42.0,,0.0
無子西瓜,,,,,,0.0,,,,,0.0,,0.0,,0.0
枇杷,,,,,,0.0,,,,,0.0,,267.0,,0.0
番石榴珍珠,,,,,,0.0,,,,,42.0,,82.0,,83.0
金煌芒果,,,,,,0.0,,,,,0.0,,200.0,,0.0
愛文芒果,,,,,,0.0,,,,,0.0,,250.0,,0.0
釋迦,,,,,,116.0,,,,,0.0,,158.0,,116.0
龍眼,,,,,,0.0,,,,,0.0,,0.0,,0.0
虱目魚,,,,,,150.0,,,,,150.0,,150.0,,133.0
吳郭魚,,,,,,133.0,,,,,133.0,,133.0,,133.0
鰱魚,,,,,,0.0,,,,,0.0,,0.0,,0.0
赤宗,,,,,,533.0,,,,,0.0,,700.0,,500.0
加臘,,,,,,533.0,,,,,0.0,,633.0,,0.0
盤仔魚,,,,,,433.0,,,,,0.0,,533.0,,350.0
白鯧,,,,,,0.0,,,,,0.0,,0.0,,500.0
旗魚,,,,,,266.0,,,,,284.0,,300.0,,0.0
鮪魚,,,,,,333.0,,,,,330.0,,333.0,,0.0
肉魚,,,,,,333.0,,,,,432.0,,667.0,,450.0
紅目鰱,,,,,,500.0,,,,,0.0,,783.0,,460.0
烏賊,,,,,,266.0,,,,,250.0,,300.0,,266.0
白帶魚,,,,,,300.0,,,,,330.0,,583.0,,300.0
鯖魚,,,,,,200.0,,,,,230.0,,300.0,,250.0
白口,,,,,,266.0,,,,,0.0,,533.0,,300.0
海鰻,,,,,,0.0,,,,,0.0,,283.0,,0.0
金線魚,,,,,,333.0,,,,,0.0,,600.0,,400.0
黃花魚,,,,,,266.0,,,,,255.0,,300.0,,0.0
黑鯧,,,,,,333.0,,,,,400.0,,583.0,,333.0
草蝦,,,,,,0.0,,,,,0.0,,0.0,,0.0
厚殼蝦,,,,,,0.0,,,,,0.0,,333.0,,250.0
里肌肉,,,,,,225.0,,,,,167.0,,200.0,,217.0
後腿肉,,,,,,183.0,,,,,150.0,,200.0,,200.0
五花肉,,,,,,200.0,,,,,200.0,,200.0,,217.0
