食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,100.0,75.0,75.0,83.0,67.0,66.0,75.0,75.0,100.0,66.0,60.0,67.0,75.0,72.0,83.0
胡蘿蔔,83.0,72.0,67.0,75.0,60.0,58.0,75.0,67.0,83.0,75.0,56.0,58.0,75.0,68.0,83.0
麻竹筍,133.0,116.0,133.0,116.0,100.0,116.0,100.0,133.0,133.0,116.0,67.0,0.0,0.0,116.0,116.0
馬鈴薯,83.0,82.0,67.0,75.0,60.0,58.0,67.0,67.0,83.0,75.0,52.0,58.0,75.0,62.0,83.0
甘藍,100.0,116.0,117.0,116.0,100.0,116.0,100.0,117.0,100.0,116.0,72.0,83.0,100.0,96.0,116.0
小白菜,133.0,110.0,133.0,150.0,125.0,116.0,150.0,133.0,133.0,150.0,70.0,75.0,100.0,96.0,116.0
包心白菜,100.0,108.0,117.0,100.0,117.0,133.0,100.0,117.0,100.0,116.0,78.0,0.0,100.0,98.0,116.0
菠菜,267.0,233.0,250.0,250.0,250.0,200.0,233.0,250.0,267.0,266.0,190.0,200.0,225.0,224.0,233.0
青江白菜,133.0,120.0,133.0,150.0,125.0,116.0,150.0,133.0,133.0,150.0,70.0,75.0,92.0,92.0,116.0
空心菜,133.0,83.0,83.0,75.0,83.0,83.0,100.0,83.0,133.0,83.0,50.0,75.0,125.0,84.0,83.0
青蔥,166.0,133.0,267.0,200.0,250.0,166.0,183.0,267.0,166.0,216.0,90.0,200.0,250.0,148.0,166.0
韭菜,200.0,67.0,92.0,91.0,92.0,66.0,133.0,92.0,200.0,100.0,55.0,67.0,50.0,68.0,83.0
茄子,166.0,133.0,150.0,133.0,125.0,83.0,133.0,150.0,166.0,166.0,66.0,108.0,108.0,104.0,150.0
蕃茄,166.0,126.0,142.0,133.0,125.0,166.0,133.0,142.0,166.0,133.0,80.0,100.0,150.0,116.0,116.0
菜豆,166.0,117.0,167.0,150.0,150.0,0.0,150.0,167.0,166.0,166.0,90.0,92.0,133.0,112.0,116.0
大黃瓜,100.0,83.0,108.0,83.0,100.0,75.0,83.0,108.0,100.0,100.0,54.0,58.0,83.0,80.0,100.0
花椰菜,200.0,167.0,167.0,166.0,150.0,166.0,167.0,167.0,200.0,166.0,120.0,0.0,150.0,152.0,166.0
絲瓜,100.0,67.0,0.0,83.0,92.0,58.0,75.0,0.0,100.0,100.0,50.0,75.0,83.0,80.0,83.0
花胡瓜,166.0,108.0,167.0,150.0,150.0,116.0,133.0,167.0,166.0,166.0,84.0,75.0,133.0,112.0,133.0
苦瓜,200.0,133.0,150.0,166.0,133.0,116.0,167.0,150.0,200.0,166.0,83.0,117.0,150.0,104.0,150.0
青椒,133.0,110.0,167.0,150.0,117.0,133.0,150.0,167.0,133.0,166.0,90.0,83.0,150.0,112.0,133.0
芹菜,200.0,133.0,250.0,166.0,233.0,133.0,217.0,250.0,200.0,216.0,110.0,125.0,225.0,132.0,166.0
四季豆,333.0,216.0,333.0,233.0,250.0,166.0,250.0,333.0,333.0,266.0,0.0,200.0,250.0,232.0,333.0
牛蒡,133.0,83.0,67.0,91.0,67.0,83.0,100.0,67.0,133.0,83.0,76.0,50.0,58.0,78.0,100.0
生薑,166.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,166.0,133.0,110.0,75.0,133.0,100.0,150.0
芋頭,125.0,116.0,108.0,133.0,108.0,100.0,133.0,108.0,125.0,116.0,90.0,75.0,92.0,100.0,116.0
綠竹筍,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.0,166.0,83.0,0.0,0.0,0.0,0.0
洋蔥,83.0,58.0,58.0,66.0,55.0,66.0,67.0,58.0,83.0,66.0,50.0,55.0,50.0,58.0,66.0
綠蘆筍,267.0,333.0,0.0,0.0,0.0,0.0,250.0,0.0,267.0,0.0,300.0,0.0,333.0,0.0,0.0
筊白筍,267.0,233.0,267.0,300.0,233.0,233.0,250.0,267.0,267.0,266.0,267.0,200.0,217.0,0.0,250.0
