食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,50.0,30.0,33.0,41.0,33.0,33.0,25.0,33.0,41.0,33.0,30.0,25.0,42.0,35.0,42.0
胡蘿蔔,58.0,35.0,41.0,50.0,41.0,50.0,33.0,41.0,41.0,50.0,30.0,33.0,33.0,35.0,33.0
麻竹筍,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
馬鈴薯,66.0,58.0,50.0,50.0,50.0,58.0,42.0,50.0,58.0,58.0,50.0,42.0,58.0,55.0,58.0
甘藍,33.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,33.0,25.0,20.0,25.0,20.0,23.0,20.0
小白菜,100.0,58.0,67.0,66.0,67.0,50.0,50.0,75.0,66.0,83.0,40.0,53.0,58.0,55.0,58.0
包心白菜,66.0,43.0,41.0,33.0,33.0,41.0,33.0,41.0,41.0,41.0,35.0,30.0,25.0,32.0,25.0
菠菜,100.0,58.0,75.0,66.0,67.0,66.0,50.0,75.0,65.0,58.0,50.0,55.0,42.0,58.0,42.0
青江白菜,83.0,66.0,75.0,66.0,67.0,50.0,50.0,83.0,65.0,66.0,45.0,50.0,58.0,60.0,58.0
空心菜,83.0,55.0,50.0,58.0,50.0,58.0,67.0,50.0,83.0,58.0,58.0,53.0,58.0,53.0,58.0
青蔥,83.0,66.0,67.0,66.0,67.0,83.0,42.0,75.0,50.0,66.0,42.0,58.0,42.0,55.0,42.0
韭菜,83.0,58.0,50.0,50.0,41.0,58.0,50.0,50.0,66.0,58.0,55.0,50.0,58.0,52.0,58.0
茄子,117.0,66.0,58.0,66.0,41.0,66.0,58.0,58.0,83.0,66.0,55.0,50.0,100.0,60.0,100.0
蕃茄,100.0,71.0,58.0,58.0,41.0,75.0,50.0,58.0,65.0,50.0,30.0,50.0,33.0,48.0,33.0
菜豆,166.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,150.0,0.0,0.0,0.0,67.0,0.0,67.0
大黃瓜,100.0,42.0,58.0,41.0,50.0,41.0,42.0,58.0,83.0,66.0,40.0,41.0,67.0,50.0,67.0
花椰菜,83.0,67.0,67.0,50.0,58.0,58.0,50.0,75.0,83.0,58.0,50.0,61.0,67.0,60.0,67.0
絲瓜,83.0,46.0,50.0,41.0,50.0,50.0,33.0,50.0,58.0,41.0,50.0,41.0,67.0,50.0,67.0
花胡瓜,117.0,63.0,91.0,66.0,75.0,58.0,67.0,100.0,116.0,100.0,65.0,58.0,83.0,76.0,83.0
苦瓜,216.0,83.0,75.0,75.0,67.0,83.0,83.0,83.0,166.0,100.0,167.0,83.0,200.0,0.0,200.0
青椒,100.0,67.0,58.0,66.0,58.0,83.0,58.0,67.0,83.0,66.0,50.0,50.0,50.0,60.0,50.0
芹菜,117.0,83.0,83.0,83.0,66.0,83.0,83.0,100.0,83.0,83.0,70.0,75.0,83.0,78.0,83.0
四季豆,216.0,117.0,167.0,166.0,150.0,116.0,167.0,183.0,216.0,183.0,100.0,166.0,117.0,138.0,117.0
牛蒡,100.0,83.0,83.0,83.0,66.0,83.0,67.0,100.0,83.0,83.0,75.0,67.0,83.0,80.0,83.0
生薑,133.0,108.0,100.0,116.0,83.0,100.0,100.0,100.0,133.0,100.0,100.0,116.0,83.0,106.0,83.0
芋頭,100.0,83.0,83.0,91.0,83.0,83.0,75.0,83.0,83.0,75.0,67.0,75.0,83.0,81.0,83.0
綠竹筍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
洋蔥,66.0,50.0,41.0,50.0,33.0,41.0,33.0,41.0,41.0,50.0,40.0,30.0,42.0,39.0,42.0
綠蘆筍,0.0,0.0,0.0,0.0,0.0,0.0,333.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0
筊白筍,266.0,216.0,200.0,200.0,166.0,200.0,250.0,217.0,250.0,216.0,0.0,266.0,0.0,0.0,0.0
大芥菜,83.0,58.0,67.0,66.0,67.0,66.0,67.0,67.0,58.0,50.0,50.0,41.0,58.0,52.0,58.0
青蒜,117.0,116.0,100.0,116.0,100.0,166.0,100.0,117.0,116.0,100.0,90.0,100.0,83.0,110.0,83.0
蒜頭,200.0,200.0,183.0,200.0,150.0,200.0,167.0,183.0,233.0,233.0,170.0,166.0,167.0,168.0,167.0
甘藍芽,133.0,100.0,117.0,116.0,100.0,133.0,117.0,133.0,100.0,100.0,0.0,117.0,117.0,0.0,117.0
芥藍,117.0,76.0,75.0,66.0,67.0,66.0,67.0,75.0,75.0,83.0,55.0,67.0,67.0,58.0,67.0
莧菜,83.0,58.0,67.0,58.0,67.0,66.0,50.0,67.0,66.0,66.0,50.0,58.0,67.0,60.0,67.0
本島萵苣,100.0,67.0,83.0,66.0,75.0,66.0,67.0,83.0,83.0,83.0,0.0,66.0,50.0,0.0,50.0
萵苣,83.0,72.0,67.0,75.0,67.0,83.0,67.0,75.0,58.0,66.0,0.0,50.0,33.0,0.0,33.0
