食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,83.0,50.0,50.0,58.0,50.0,,,58.0,58.0,50.0,40.0,50.0,58.0,52.0,58.0
胡蘿蔔,66.0,55.0,50.0,50.0,53.0,,,55.0,58.0,58.0,50.0,42.0,42.0,50.0,66.0
麻竹筍,166.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
馬鈴薯,83.0,58.0,55.0,58.0,53.0,,,55.0,58.0,58.0,50.0,42.0,42.0,48.0,58.0
甘藍,83.0,67.0,75.0,83.0,67.0,,,75.0,83.0,83.0,55.0,58.0,67.0,68.0,66.0
小白菜,133.0,83.0,67.0,83.0,58.0,,,75.0,83.0,83.0,70.0,58.0,42.0,68.0,100.0
包心白菜,116.0,91.0,92.0,91.0,83.0,,,92.0,100.0,100.0,84.0,0.0,67.0,78.0,100.0
菠菜,133.0,86.0,67.0,83.0,67.0,,,75.0,83.0,83.0,100.0,83.0,50.0,80.0,100.0
青江白菜,133.0,83.0,83.0,83.0,58.0,,,75.0,83.0,83.0,90.0,67.0,42.0,68.0,100.0
空心菜,133.0,71.0,0.0,83.0,67.0,,,75.0,100.0,83.0,80.0,0.0,42.0,68.0,100.0
青蔥,166.0,110.0,117.0,116.0,100.0,,,133.0,133.0,116.0,150.0,100.0,117.0,110.0,133.0
韭菜,100.0,66.0,67.0,66.0,58.0,,,67.0,75.0,66.0,62.0,58.0,58.0,62.0,83.0
茄子,133.0,83.0,75.0,83.0,75.0,,,83.0,83.0,83.0,75.0,75.0,55.0,76.0,100.0
蕃茄,133.0,71.0,67.0,83.0,58.0,,,67.0,83.0,83.0,80.0,67.0,50.0,62.0,100.0
菜豆,216.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
大黃瓜,141.0,83.0,92.0,83.0,83.0,,,100.0,110.0,116.0,74.0,58.0,100.0,80.0,116.0
花椰菜,133.0,100.0,92.0,91.0,83.0,,,100.0,116.0,116.0,83.0,67.0,67.0,96.0,116.0
絲瓜,116.0,72.0,75.0,83.0,67.0,,,75.0,83.0,83.0,76.0,75.0,67.0,76.0,83.0
花胡瓜,200.0,133.0,133.0,133.0,133.0,,,150.0,150.0,133.0,100.0,75.0,117.0,112.0,133.0
苦瓜,267.0,133.0,0.0,150.0,167.0,,,200.0,166.0,0.0,100.0,83.0,117.0,112.0,0.0
青椒,183.0,100.0,108.0,116.0,100.0,,,117.0,116.0,116.0,90.0,67.0,100.0,104.0,133.0
芹菜,166.0,116.0,133.0,133.0,117.0,,,150.0,133.0,133.0,114.0,83.0,108.0,112.0,133.0
四季豆,250.0,150.0,183.0,183.0,167.0,,,183.0,183.0,166.0,0.0,92.0,108.0,0.0,200.0
牛蒡,100.0,83.0,67.0,83.0,83.0,,,67.0,83.0,83.0,78.0,50.0,83.0,80.0,83.0
