食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,66.0,41.0,50.0,50.0,33.0,41.0,42.0,50.0,50.0,41.0,43.0,41.0,42.0,43.0,41.0
胡蘿蔔,66.0,53.0,41.0,50.0,33.0,41.0,42.0,50.0,50.0,50.0,33.0,55.0,67.0,48.0,50.0
麻竹筍,133.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
馬鈴薯,83.0,58.0,50.0,58.0,50.0,58.0,58.0,58.0,67.0,58.0,60.0,58.0,58.0,60.0,58.0
甘藍,66.0,46.0,58.0,41.0,41.0,41.0,42.0,58.0,67.0,50.0,42.0,41.0,42.0,45.0,41.0
小白菜,66.0,63.0,66.0,75.0,50.0,50.0,50.0,66.0,58.0,83.0,50.0,58.0,33.0,55.0,83.0
包心白菜,83.0,55.0,58.0,58.0,41.0,41.0,42.0,66.0,67.0,66.0,55.0,53.0,50.0,52.0,66.0
菠菜,100.0,91.0,83.0,66.0,66.0,66.0,67.0,83.0,83.0,66.0,55.0,70.0,42.0,68.0,66.0
青江白菜,83.0,75.0,66.0,66.0,58.0,50.0,50.0,66.0,67.0,66.0,46.0,66.0,33.0,53.0,66.0
空心菜,117.0,83.0,75.0,75.0,58.0,75.0,75.0,83.0,83.0,83.0,63.0,66.0,67.0,70.0,83.0
青蔥,83.0,83.0,66.0,75.0,50.0,50.0,50.0,66.0,67.0,66.0,45.0,58.0,50.0,55.0,66.0
韭菜,83.0,50.0,41.0,50.0,41.0,50.0,50.0,50.0,67.0,50.0,50.0,50.0,50.0,50.0,50.0
茄子,100.0,67.0,58.0,58.0,41.0,58.0,58.0,66.0,67.0,50.0,60.0,55.0,50.0,58.0,50.0
蕃茄,83.0,58.0,41.0,50.0,41.0,50.0,50.0,41.0,58.0,41.0,33.0,41.0,33.0,40.0,41.0
菜豆,100.0,93.0,83.0,83.0,66.0,67.0,67.0,91.0,83.0,83.0,0.0,0.0,75.0,75.0,83.0
大黃瓜,58.0,46.0,50.0,50.0,41.0,50.0,50.0,50.0,50.0,50.0,50.0,41.0,42.0,50.0,50.0
花椰菜,117.0,75.0,66.0,66.0,66.0,67.0,67.0,66.0,83.0,66.0,75.0,70.0,67.0,68.0,66.0
絲瓜,83.0,47.0,41.0,50.0,41.0,41.0,42.0,41.0,42.0,50.0,50.0,55.0,33.0,48.0,50.0
花胡瓜,100.0,66.0,66.0,75.0,50.0,58.0,58.0,75.0,67.0,66.0,60.0,58.0,42.0,62.0,66.0
苦瓜,100.0,83.0,83.0,66.0,50.0,67.0,67.0,100.0,83.0,75.0,67.0,75.0,50.0,65.0,75.0
青椒,83.0,67.0,66.0,66.0,50.0,66.0,67.0,75.0,83.0,83.0,60.0,63.0,67.0,65.0,83.0
芹菜,117.0,83.0,75.0,83.0,75.0,66.0,67.0,75.0,83.0,83.0,70.0,75.0,67.0,76.0,83.0
四季豆,166.0,100.0,116.0,100.0,83.0,108.0,108.0,116.0,150.0,116.0,100.0,108.0,83.0,100.0,116.0
牛蒡,100.0,83.0,83.0,83.0,66.0,66.0,67.0,83.0,75.0,83.0,90.0,75.0,83.0,76.0,83.0
生薑,133.0,100.0,75.0,100.0,75.0,83.0,83.0,83.0,116.0,100.0,75.0,83.0,75.0,83.0,100.0
芋頭,117.0,83.0,83.0,91.0,75.0,75.0,75.0,91.0,100.0,83.0,83.0,91.0,83.0,83.0,83.0
綠竹筍,166.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
洋蔥,66.0,50.0,41.0,50.0,33.0,41.0,42.0,41.0,50.0,50.0,33.0,41.0,42.0,43.0,50.0
綠蘆筍,300.0,200.0,0.0,0.0,220.0,266.0,267.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,300.0
筊白筍,200.0,183.0,183.0,183.0,150.0,216.0,217.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,200.0
大芥菜,100.0,67.0,66.0,66.0,58.0,67.0,67.0,66.0,67.0,66.0,40.0,55.0,50.0,60.0,66.0
青蒜,267.0,183.0,166.0,150.0,150.0,133.0,133.0,166.0,167.0,133.0,220.0,183.0,200.0,180.0,133.0
蒜頭,200.0,200.0,200.0,200.0,166.0,166.0,167.0,200.0,200.0,200.0,150.0,150.0,100.0,170.0,200.0
甘藍芽,200.0,100.0,100.0,116.0,83.0,133.0,133.0,100.0,133.0,116.0,0.0,116.0,117.0,0.0,100.0
芥藍,100.0,83.0,83.0,83.0,66.0,50.0,50.0,83.0,83.0,83.0,60.0,63.0,58.0,55.0,83.0
莧菜,117.0,83.0,66.0,75.0,58.0,66.0,67.0,66.0,75.0,75.0,55.0,63.0,67.0,62.0,75.0
本島萵苣,100.0,75.0,83.0,66.0,66.0,100.0,100.0,83.0,100.0,66.0,60.0,66.0,58.0,63.0,66.0
萵苣,100.0,75.0,75.0,75.0,66.0,66.0,67.0,83.0,83.0,66.0,55.0,58.0,58.0,0.0,66.0
茼蒿,133.0,83.0,83.0,91.0,100.0,66.0,67.0,91.0,83.0,100.0,90.0,83.0,67.0,85.0,100.0
青花苔,117.0,76.0,75.0,66.0,75.0,83.0,83.0,75.0,100.0,66.0,75.0,75.0,100.0,80.0,66.0
金針菜乾,533.0,533.0,533.0,533.0,533.0,533.0,583.0,533.0,533.0,533.0,533.0,466.0,667.0,0.0,533.0
冬瓜,50.0,43.0,33.0,41.0,33.0,33.0,33.0,41.0,42.0,41.0,30.0,30.0,25.0,32.0,41.0
扁蒲,66.0,41.0,0.0,41.0,33.0,33.0,33.0,0.0,41.0,50.0,20.0,0.0,33.0,0.0,50.0
甜碗豆,166.0,133.0,133.0,133.0,133.0,133.0,133.0,150.0,150.0,150.0,133.0,133.0,133.0,0.0,0.0
碗豆,166.0,142.0,133.0,150.0,133.0,133.0,133.0,150.0,150.0,150.0,133.0,141.0,117.0,0.0,150.0
甜玉米,100.0,55.0,50.0,50.0,50.0,58.0,58.0,50.0,67.0,50.0,38.0,50.0,50.0,50.0,50.0
香菇乾,833.0,833.0,833.0,833.0,800.0,833.0,833.0,833.0,833.0,833.0,833.0,1066.0,1200.0,0.0,1166.0
香菇溼,200.0,150.0,150.0,150.0,125.0,150.0,150.0,166.0,150.0,150.0,150.0,133.0,150.0,150.0,150.0
黑色木耳,166.0,100.0,100.0,100.0,100.0,116.0,117.0,100.0,116.0,100.0,100.0,100.0,100.0,100.0,100.0
香蕉,66.0,55.0,58.0,58.0,50.0,50.0,50.0,58.0,50.0,66.0,58.0,0.0,67.0,56.0,66.0
鳳梨17號,33.0,41.0,41.0,41.0,41.0,41.0,42.0,50.0,42.0,41.0,42.0,0.0,42.0,42.0,41.0
番石榴世紀,41.0,42.0,0.0,41.0,41.0,50.0,33.0,0.0,41.0,41.0,35.0,0.0,25.0,38.0,41.0
木瓜,58.0,66.0,75.0,66.0,58.0,83.0,83.0,83.0,83.0,83.0,58.0,0.0,67.0,80.0,83.0
小西瓜,33.0,33.0,41.0,33.0,20.0,33.0,30.0,41.0,41.0,41.0,33.0,0.0,33.0,32.0,41.0
甜瓜,0.0,75.0,0.0,75.0,58.0,66.0,67.0,0.0,75.0,75.0,65.0,0.0,83.0,70.0,75.0
洋香瓜,83.0,76.0,75.0,75.0,66.0,83.0,67.0,75.0,67.0,75.0,65.0,0.0,83.0,70.0,75.0
海梨柑,66.0,0.0,58.0,58.0,50.0,0.0,58.0,66.0,0.0,0.0,58.0,0.0,50.0,0.0,0.0
文旦,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
柳橙,41.0,33.0,25.0,30.0,20.0,33.0,33.0,33.0,33.0,41.0,28.0,0.0,33.0,30.0,41.0
椪柑,83.0,50.0,66.0,75.0,66.0,66.0,75.0,66.0,75.0,75.0,50.0,0.0,67.0,63.0,75.0
楊桃,58.0,66.0,0.0,0.0,50.0,0.0,58.0,0.0,58.0,66.0,50.0,0.0,67.0,0.0,66.0
蓮霧,166.0,106.0,83.0,100.0,100.0,133.0,100.0,100.0,100.0,100.0,83.0,0.0,108.0,100.0,100.0
鶯歌桃,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
紅柿子,0.0,58.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0
巨峰葡萄,150.0,150.0,133.0,150.0,133.0,150.0,125.0,150.0,150.0,150.0,110.0,0.0,150.0,150.0,150.0
黑葉荔枝,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
在來芒果,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
新世紀梨,0.0,116.0,0.0,116.0,100.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,83.0,0.0,0.0
棗子,133.0,110.0,83.0,116.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0
紅肉李,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
玉李,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
荔枝玉荷,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳳梨開英,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
桶柑,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
檸檬,125.0,100.0,66.0,83.0,66.0,91.0,75.0,75.0,83.0,83.0,80.0,0.0,83.0,82.0,83.0
茂谷柑,117.0,0.0,66.0,83.0,100.0,0.0,75.0,66.0,100.0,100.0,0.0,0.0,83.0,88.0,100.0
白柚,83.0,83.0,0.0,0.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
甜桃,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
水蜜桃,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
牛心柿,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
甜柿,200.0,150.0,0.0,0.0,150.0,166.0,133.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
橫山梨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
新興梨,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,0.0,116.0,0.0,83.0,0.0,0.0
大西瓜,0.0,41.0,0.0,41.0,33.0,41.0,33.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
無子西瓜,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
枇杷,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
番石榴珍珠,41.0,40.0,33.0,41.0,41.0,41.0,0.0,33.0,33.0,33.0,35.0,0.0,25.0,35.0,33.0
金煌芒果,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
愛文芒果,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
釋迦,150.0,110.0,116.0,116.0,100.0,116.0,133.0,133.0,0.0,116.0,83.0,0.0,108.0,0.0,116.0
龍眼,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
虱目魚,133.0,150.0,150.0,150.0,125.0,133.0,167.0,150.0,140.0,133.0,133.0,141.0,108.0,135.0,133.0
