食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,,83.0,75.0,75.0,67.0,83.0,83.0,83.0,83.0,83.0,,58.0,67.0,72.0,83.0
胡蘿蔔,,83.0,100.0,83.0,83.0,83.0,83.0,100.0,100.0,100.0,,50.0,92.0,84.0,100.0
麻竹筍,,130.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
馬鈴薯,,83.0,83.0,83.0,75.0,83.0,75.0,83.0,83.0,83.0,,50.0,75.0,76.0,83.0
甘藍,,112.0,133.0,116.0,133.0,100.0,83.0,116.0,116.0,166.0,,63.0,133.0,108.0,116.0
小白菜,,83.0,67.0,83.0,58.0,116.0,83.0,75.0,83.0,83.0,,58.0,50.0,64.0,83.0
包心白菜,,108.0,83.0,100.0,83.0,116.0,100.0,100.0,83.0,83.0,,0.0,47.0,80.0,83.0
菠菜,,167.0,117.0,113.0,100.0,266.0,117.0,133.0,150.0,100.0,,133.0,67.0,132.0,150.0
青江白菜,,85.0,67.0,83.0,58.0,133.0,83.0,83.0,83.0,83.0,,58.0,47.0,60.0,83.0
空心菜,,67.0,67.0,66.0,58.0,83.0,67.0,67.0,66.0,66.0,,58.0,42.0,58.0,66.0
青蔥,,133.0,133.0,166.0,117.0,200.0,133.0,150.0,133.0,133.0,,108.0,117.0,112.0,150.0
韭菜,,83.0,75.0,83.0,67.0,100.0,83.0,75.0,83.0,83.0,,67.0,58.0,80.0,83.0
茄子,,112.0,100.0,116.0,83.0,183.0,100.0,100.0,100.0,100.0,,83.0,58.0,96.0,83.0
蕃茄,,150.0,150.0,150.0,150.0,133.0,150.0,200.0,150.0,266.0,,67.0,200.0,148.0,166.0
菜豆,,150.0,150.0,133.0,142.0,200.0,133.0,125.0,133.0,133.0,,100.0,125.0,124.0,166.0
大黃瓜,,95.0,50.0,116.0,41.0,133.0,58.0,50.0,50.0,50.0,,58.0,38.0,68.0,50.0
花椰菜,,183.0,200.0,200.0,183.0,233.0,200.0,216.0,200.0,200.0,,0.0,150.0,160.0,166.0
絲瓜,,83.0,67.0,75.0,58.0,100.0,67.0,75.0,83.0,83.0,,67.0,63.0,60.0,83.0
花胡瓜,,108.0,100.0,166.0,83.0,150.0,117.0,100.0,100.0,83.0,,67.0,58.0,100.0,133.0
苦瓜,,150.0,142.0,150.0,133.0,200.0,150.0,150.0,150.0,133.0,,117.0,100.0,140.0,150.0
青椒,,133.0,200.0,166.0,183.0,183.0,183.0,200.0,200.0,200.0,,100.0,167.0,144.0,200.0
芹菜,,200.0,117.0,150.0,100.0,233.0,133.0,117.0,133.0,133.0,,100.0,133.0,136.0,116.0
四季豆,,233.0,183.0,233.0,167.0,266.0,233.0,183.0,233.0,233.0,,133.0,200.0,0.0,250.0
牛蒡,,83.0,67.0,83.0,67.0,83.0,83.0,83.0,83.0,83.0,,75.0,67.0,78.0,100.0
生薑,,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,133.0,,67.0,100.0,116.0,150.0
芋頭,,116.0,133.0,116.0,117.0,116.0,117.0,116.0,116.0,116.0,,83.0,92.0,0.0,116.0
綠竹筍,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
洋蔥,,63.0,67.0,83.0,67.0,66.0,67.0,75.0,75.0,66.0,,50.0,42.0,60.0,66.0
綠蘆筍,,266.0,0.0,0.0,0.0,0.0,267.0,0.0,0.0,0.0,,0.0,333.0,0.0,0.0
筊白筍,,250.0,283.0,266.0,250.0,233.0,233.0,266.0,266.0,266.0,,200.0,233.0,0.0,250.0
大芥菜,,100.0,75.0,133.0,67.0,100.0,100.0,0.0,100.0,100.0,,0.0,50.0,80.0,83.0
青蒜,,233.0,250.0,266.0,233.0,450.0,267.0,250.0,250.0,250.0,,0.0,167.0,240.0,300.0
蒜頭,,300.0,350.0,333.0,350.0,350.0,350.0,333.0,333.0,333.0,,200.0,192.0,320.0,350.0
甘藍芽,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
芥藍,,83.0,75.0,83.0,75.0,116.0,83.0,83.0,83.0,83.0,,0.0,83.0,78.0,100.0
莧菜,,83.0,75.0,75.0,75.0,100.0,83.0,83.0,83.0,83.0,,58.0,50.0,72.0,83.0
本島萵苣,,116.0,100.0,116.0,83.0,0.0,100.0,100.0,100.0,83.0,,75.0,83.0,0.0,116.0
萵苣,,117.0,67.0,133.0,58.0,0.0,100.0,83.0,100.0,83.0,,0.0,67.0,0.0,116.0
茼蒿,,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,133.0,,0.0,83.0,0.0,0.0
青花苔,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,117.0,142.0,0.0,0.0
金針菜乾,,800.0,800.0,800.0,533.0,800.0,750.0,800.0,800.0,800.0,,750.0,750.0,0.0,800.0
冬瓜,,50.0,41.0,50.0,58.0,58.0,50.0,58.0,58.0,58.0,,42.0,50.0,40.0,66.0
扁蒲,,66.0,0.0,66.0,67.0,0.0,83.0,83.0,83.0,83.0,,0.0,50.0,0.0,66.0
甜碗豆,,266.0,267.0,0.0,250.0,266.0,0.0,0.0,0.0,0.0,,0.0,200.0,0.0,0.0
碗豆,,267.0,283.0,0.0,267.0,266.0,0.0,0.0,0.0,0.0,,0.0,200.0,0.0,0.0
甜玉米,,91.0,108.0,100.0,83.0,108.0,100.0,100.0,100.0,100.0,,75.0,100.0,88.0,100.0
香菇乾,,1,666.0,1,670.0,1,666.0,1,670.0,1,670.0,1,833.0,1,667.0,1,667.0,1,667.0,,1,250.0,1,250.0,0.0,1,667.0
香菇溼,,200.0,200.0,200.0,167.0,200.0,200.0,200.0,200.0,200.0,,125.0,167.0,168.0,200.0
黑色木耳,,133.0,133.0,133.0,133.0,133.0,133.0,116.0,116.0,116.0,,125.0,133.0,112.0,116.0
香蕉,,73.0,83.0,66.0,75.0,75.0,75.0,83.0,83.0,83.0,,0.0,92.0,72.0,83.0
鳳梨17號,,52.0,50.0,50.0,50.0,58.0,50.0,58.0,50.0,50.0,,0.0,48.0,44.0,50.0
番石榴世紀,,92.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,115.0,0.0,0.0
木瓜,,75.0,100.0,100.0,92.0,92.0,117.0,100.0,100.0,108.0,,0.0,115.0,90.0,83.0
小西瓜,,0.0,0.0,0.0,0.0,41.0,50.0,0.0,0.0,0.0,,0.0,58.0,0.0,0.0
甜瓜,,0.0,83.0,0.0,58.0,0.0,100.0,0.0,0.0,0.0,,0.0,132.0,0.0,0.0
洋香瓜,,95.0,100.0,116.0,100.0,83.0,100.0,117.0,100.0,116.0,,0.0,132.0,98.0,100.0
海梨柑,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
文旦,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
柳橙,,56.0,58.0,58.0,50.0,58.0,50.0,50.0,0.0,58.0,,0.0,48.0,0.0,58.0
椪柑,,83.0,83.0,83.0,75.0,83.0,117.0,92.0,83.0,83.0,,0.0,82.0,0.0,83.0
楊桃,,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,,0.0,115.0,0.0,0.0
蓮霧,,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,,0.0,183.0,0.0,0.0
鶯歌桃,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
紅柿子,,83.0,58.0,66.0,58.0,66.0,75.0,67.0,75.0,0.0,,0.0,82.0,60.0,83.0
巨峰葡萄,,166.0,167.0,166.0,150.0,166.0,150.0,167.0,167.0,200.0,,0.0,183.0,160.0,150.0
黑葉荔枝,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
在來芒果,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
新世紀梨,,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,,0.0,158.0,0.0,0.0
棗子,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
紅肉李,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
玉李,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
荔枝玉荷,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
鳳梨開英,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
桶柑,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
檸檬,,52.0,50.0,50.0,41.0,50.0,100.0,58.0,50.0,0.0,,0.0,132.0,0.0,66.0
茂谷柑,,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,133.0,0.0,0.0
白柚,,108.0,100.0,83.0,83.0,83.0,83.0,100.0,83.0,83.0,,0.0,65.0,0.0,0.0
甜桃,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,200.0,0.0,0.0
水蜜桃,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,400.0,0.0,0.0
牛心柿,,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,,0.0,58.0,0.0,0.0
甜柿,,150.0,0.0,150.0,117.0,150.0,117.0,0.0,0.0,133.0,,0.0,132.0,128.0,130.0
橫山梨,,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,,0.0,98.0,0.0,0.0
新興梨,,150.0,0.0,166.0,0.0,0.0,167.0,0.0,166.0,166.0,,0.0,132.0,156.0,166.0
大西瓜,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,65.0,0.0,0.0
無子西瓜,,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,58.0,0.0,0.0
枇杷,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
番石榴珍珠,,108.0,100.0,116.0,92.0,108.0,100.0,117.0,116.0,116.0,,0.0,115.0,88.0,100.0
