食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,66.0,,41.0,41.0,41.0,33.0,42.0,42.0,50.0,50.0,,25.0,50.0,42.0,41.0
胡蘿蔔,58.0,,35.0,50.0,35.0,50.0,42.0,42.0,41.0,41.0,,20.0,33.0,32.0,41.0
麻竹筍,133.0,,117.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
馬鈴薯,83.0,,41.0,58.0,41.0,58.0,58.0,58.0,58.0,58.0,,25.0,42.0,42.0,50.0
甘藍,50.0,,45.0,50.0,45.0,41.0,33.0,33.0,50.0,50.0,,25.0,42.0,36.0,33.0
小白菜,83.0,,58.0,66.0,58.0,75.0,67.0,50.0,67.0,66.0,,28.0,33.0,40.0,58.0
包心白菜,83.0,,50.0,50.0,50.0,41.0,42.0,50.0,50.0,58.0,,25.0,42.0,42.0,41.0
菠菜,83.0,,67.0,66.0,67.0,50.0,67.0,67.0,75.0,66.0,,42.0,50.0,58.0,58.0
青江白菜,83.0,,58.0,66.0,58.0,66.0,67.0,67.0,66.0,66.0,,25.0,42.0,44.0,58.0
空心菜,83.0,,45.0,50.0,45.0,50.0,50.0,50.0,41.0,50.0,,25.0,33.0,40.0,50.0
青蔥,83.0,,50.0,75.0,50.0,66.0,67.0,66.0,65.0,58.0,,50.0,33.0,50.0,66.0
韭菜,83.0,,50.0,58.0,50.0,58.0,50.0,66.0,50.0,58.0,,42.0,58.0,50.0,50.0
茄子,100.0,,66.0,66.0,66.0,63.0,67.0,67.0,67.0,66.0,,33.0,33.0,46.0,50.0
蕃茄,100.0,,50.0,58.0,50.0,66.0,58.0,67.0,50.0,50.0,,25.0,50.0,42.0,50.0
菜豆,100.0,,75.0,100.0,75.0,83.0,83.0,83.0,100.0,100.0,,58.0,58.0,0.0,0.0
大黃瓜,66.0,,35.0,50.0,35.0,50.0,42.0,58.0,42.0,41.0,,25.0,42.0,42.0,41.0
花椰菜,116.0,,83.0,66.0,75.0,66.0,67.0,67.0,75.0,66.0,,25.0,75.0,60.0,58.0
絲瓜,66.0,,35.0,50.0,35.0,41.0,50.0,58.0,40.0,33.0,,33.0,50.0,48.0,41.0
花胡瓜,100.0,,58.0,75.0,58.0,50.0,67.0,83.0,68.0,83.0,,25.0,50.0,58.0,66.0
苦瓜,100.0,,58.0,83.0,58.0,83.0,83.0,83.0,68.0,83.0,,42.0,50.0,76.0,83.0
青椒,100.0,,58.0,83.0,58.0,83.0,75.0,75.0,83.0,83.0,,25.0,67.0,62.0,66.0
芹菜,133.0,,83.0,100.0,83.0,100.0,83.0,83.0,133.0,100.0,,42.0,100.0,80.0,83.0
四季豆,166.0,,133.0,166.0,133.0,133.0,117.0,133.0,150.0,166.0,,58.0,117.0,0.0,83.0
牛蒡,100.0,,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,,42.0,83.0,76.0,83.0
生薑,214.0,,116.0,116.0,116.0,100.0,117.0,117.0,133.0,133.0,,75.0,83.0,92.0,100.0
芋頭,100.0,,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,,58.0,83.0,0.0,83.0
綠竹筍,200.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
洋蔥,66.0,,50.0,50.0,50.0,41.0,42.0,50.0,50.0,50.0,,20.0,42.0,38.0,41.0
綠蘆筍,267.0,,0.0,0.0,0.0,0.0,217.0,0.0,0.0,233.0,,0.0,0.0,0.0,0.0
筊白筍,233.0,,183.0,200.0,183.0,0.0,217.0,200.0,230.0,216.0,,0.0,0.0,0.0,216.0
大芥菜,100.0,,58.0,66.0,58.0,83.0,67.0,58.0,66.0,0.0,,0.0,0.0,52.0,50.0
青蒜,166.0,,117.0,100.0,92.0,116.0,100.0,100.0,100.0,100.0,,67.0,100.0,88.0,100.0
蒜頭,200.0,,166.0,200.0,166.0,166.0,167.0,150.0,200.0,200.0,,83.0,150.0,120.0,166.0
甘藍芽,166.0,,100.0,116.0,100.0,133.0,133.0,0.0,0.0,116.0,,0.0,0.0,0.0,116.0
芥藍,116.0,,67.0,83.0,67.0,66.0,67.0,67.0,66.0,66.0,,33.0,50.0,52.0,66.0
莧菜,83.0,,67.0,58.0,67.0,66.0,58.0,67.0,66.0,66.0,,25.0,50.0,50.0,50.0
本島萵苣,100.0,,67.0,66.0,67.0,0.0,67.0,67.0,67.0,66.0,,25.0,33.0,0.0,50.0
萵苣,83.0,,58.0,66.0,58.0,0.0,67.0,67.0,66.0,66.0,,0.0,0.0,0.0,50.0
茼蒿,0.0,,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
青花苔,116.0,,92.0,66.0,83.0,58.0,0.0,75.0,85.0,66.0,,33.0,58.0,0.0,41.0
金針菜乾,600.0,,533.0,533.0,533.0,533.0,583.0,533.0,600.0,800.0,,750.0,750.0,0.0,800.0
冬瓜,50.0,,33.0,33.0,33.0,41.0,33.0,42.0,40.0,41.0,,17.0,33.0,36.0,41.0
扁蒲,66.0,,50.0,41.0,50.0,50.0,42.0,0.0,0.0,41.0,,25.0,42.0,0.0,41.0
甜碗豆,166.0,,0.0,133.0,100.0,133.0,0.0,150.0,133.0,0.0,,0.0,133.0,0.0,100.0
碗豆,166.0,,0.0,133.0,116.0,133.0,0.0,167.0,0.0,0.0,,0.0,133.0,0.0,133.0
甜玉米,66.0,,66.0,58.0,66.0,58.0,58.0,75.0,66.0,50.0,,25.0,58.0,50.0,66.0
香菇乾,1800.0,,1500.0,1666.0,1500.0,1660.0,1000.0,1666.0,1667.0,1667.0,,1250.0,1333.0,0.0,1667.0
香菇溼,200.0,,150.0,166.0,150.0,166.0,200.0,167.0,200.0,200.0,,100.0,167.0,148.0,200.0
黑色木耳,166.0,,100.0,116.0,100.0,116.0,117.0,133.0,117.0,116.0,,67.0,117.0,102.0,116.0
香蕉,41.0,,41.0,50.0,35.0,50.0,50.0,50.0,50.0,50.0,,0.0,48.0,0.0,50.0
鳳梨17號,41.0,,33.0,41.0,33.0,41.0,38.0,41.0,41.0,41.0,,0.0,42.0,38.0,41.0
番石榴世紀,33.0,,0.0,33.0,0.0,0.0,33.0,0.0,0.0,33.0,,0.0,32.0,0.0,0.0
木瓜,50.0,,50.0,50.0,41.0,50.0,50.0,50.0,50.0,41.0,,0.0,48.0,44.0,41.0
小西瓜,30.0,,20.0,25.0,20.0,30.0,33.0,33.0,30.0,30.0,,0.0,22.0,26.0,25.0
甜瓜,83.0,,75.0,0.0,67.0,0.0,75.0,75.0,75.0,0.0,,0.0,65.0,0.0,0.0
洋香瓜,75.0,,83.0,83.0,83.0,83.0,83.0,83.0,83.0,66.0,,0.0,65.0,76.0,83.0
海梨柑,0.0,,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
