食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,66.0,50.0,41.0,50.0,33.0,33.0,33.0,50.0,50.0,41.0,43.0,41.0,42.0,45.0,41.0
胡蘿蔔,66.0,53.0,41.0,41.0,33.0,33.0,33.0,50.0,50.0,50.0,48.0,50.0,58.0,53.0,50.0
麻竹筍,133.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
馬鈴薯,83.0,58.0,50.0,58.0,50.0,50.0,50.0,58.0,67.0,58.0,60.0,58.0,50.0,58.0,58.0
甘藍,66.0,50.0,58.0,50.0,50.0,50.0,50.0,58.0,67.0,50.0,42.0,46.0,42.0,48.0,50.0
小白菜,66.0,63.0,66.0,66.0,50.0,42.0,42.0,66.0,58.0,83.0,40.0,58.0,33.0,55.0,83.0
包心白菜,83.0,56.0,58.0,58.0,41.0,50.0,50.0,66.0,67.0,66.0,55.0,50.0,500.0,56.0,66.0
菠菜,100.0,91.0,83.0,66.0,66.0,58.0,58.0,91.0,83.0,66.0,50.0,66.0,50.0,68.0,66.0
青江白菜,83.0,75.0,66.0,66.0,58.0,42.0,42.0,66.0,67.0,66.0,36.0,66.0,42.0,53.0,66.0
空心菜,100.0,83.0,75.0,75.0,58.0,67.0,67.0,83.0,83.0,83.0,63.0,66.0,67.0,70.0,83.0
青蔥,83.0,83.0,66.0,75.0,50.0,50.0,50.0,66.0,67.0,66.0,45.0,55.0,50.0,55.0,66.0
韭菜,83.0,50.0,41.0,50.0,41.0,50.0,50.0,41.0,67.0,50.0,50.0,50.0,50.0,50.0,50.0
茄子,100.0,67.0,58.0,58.0,41.0,50.0,50.0,66.0,67.0,50.0,55.0,45.0,50.0,56.0,50.0
