食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,116.0,66.0,58.0,66.0,,,67.0,58.0,83.0,66.0,60.0,50.0,83.0,70.0,66.0
胡蘿蔔,83.0,58.0,50.0,66.0,,,50.0,55.0,66.0,58.0,46.0,47.0,50.0,52.0,50.0
麻竹筍,133.0,83.0,0.0,100.0,,,83.0,0.0,0.0,100.0,33.0,0.0,0.0,0.0,0.0
馬鈴薯,83.0,58.0,55.0,58.0,,,50.0,58.0,58.0,58.0,50.0,42.0,50.0,52.0,50.0
甘藍,100.0,83.0,83.0,83.0,,,83.0,92.0,92.0,83.0,87.0,75.0,117.0,88.0,83.0
小白菜,83.0,67.0,67.0,83.0,,,83.0,67.0,83.0,83.0,60.0,50.0,50.0,56.0,83.0
包心白菜,100.0,83.0,83.0,83.0,,,83.0,92.0,100.0,83.0,83.0,0.0,75.0,78.0,83.0
菠菜,267.0,133.0,200.0,200.0,,,133.0,200.0,0.0,0.0,150.0,117.0,142.0,168.0,133.0
青江白菜,100.0,83.0,67.0,83.0,,,83.0,75.0,83.0,83.0,57.0,50.0,58.0,56.0,66.0
空心菜,83.0,58.0,50.0,75.0,,,50.0,58.0,66.0,66.0,54.0,58.0,42.0,52.0,50.0
青蔥,216.0,150.0,150.0,200.0,,,200.0,167.0,166.0,166.0,130.0,125.0,158.0,148.0,200.0
韭菜,133.0,83.0,75.0,66.0,,,83.0,75.0,83.0,83.0,68.0,50.0,67.0,0.0,83.0
茄子,133.0,100.0,100.0,100.0,,,67.0,100.0,100.0,100.0,88.0,58.0,133.0,94.0,66.0
蕃茄,166.0,100.0,117.0,133.0,,,100.0,133.0,150.0,133.0,112.0,100.0,133.0,108.0,100.0
菜豆,133.0,108.0,133.0,116.0,,,83.0,133.0,133.0,133.0,0.0,58.0,75.0,96.0,83.0
大黃瓜,83.0,67.0,50.0,75.0,,,50.0,50.0,58.0,66.0,58.0,58.0,67.0,60.0,50.0
花椰菜,233.0,116.0,167.0,0.0,,,0.0,167.0,200.0,0.0,117.0,108.0,0.0,120.0,0.0
絲瓜,83.0,58.0,50.0,58.0,,,50.0,50.0,58.0,66.0,50.0,58.0,50.0,52.0,50.0
花胡瓜,100.0,72.0,75.0,100.0,,,83.0,75.0,100.0,83.0,70.0,50.0,83.0,72.0,83.0
苦瓜,150.0,100.0,100.0,133.0,,,100.0,150.0,133.0,116.0,100.0,75.0,100.0,128.0,100.0
青椒,233.0,92.0,233.0,150.0,,,133.0,250.0,233.0,200.0,124.0,83.0,183.0,128.0,133.0
芹菜,267.0,167.0,217.0,266.0,,,200.0,200.0,233.0,216.0,133.0,108.0,133.0,172.0,200.0
四季豆,267.0,133.0,200.0,200.0,,,200.0,200.0,233.0,200.0,180.0,75.0,183.0,168.0,200.0
牛蒡,100.0,83.0,0.0,91.0,,,83.0,83.0,83.0,83.0,80.0,42.0,83.0,80.0,83.0
生薑,166.0,133.0,133.0,133.0,,,100.0,117.0,133.0,133.0,100.0,100.0,133.0,112.0,100.0
芋頭,100.0,83.0,83.0,91.0,,,83.0,75.0,91.0,91.0,82.0,58.0,83.0,80.0,83.0
綠竹筍,200.0,0.0,0.0,0.0,,,0.0,0.0,0.0,166.0,75.0,0.0,0.0,0.0,0.0
洋蔥,83.0,50.0,50.0,58.0,,,58.0,50.0,58.0,58.0,48.0,42.0,50.0,52.0,58.0
綠蘆筍,267.0,200.0,0.0,0.0,,,300.0,0.0,0.0,333.0,0.0,0.0,0.0,0.0,0.0
筊白筍,267.0,217.0,217.0,300.0,,,200.0,233.0,233.0,233.0,205.0,0.0,150.0,216.0,200.0
大芥菜,133.0,86.0,75.0,0.0,,,83.0,75.0,83.0,83.0,0.0,0.0,58.0,72.0,0.0
青蒜,333.0,200.0,250.0,416.0,,,300.0,267.0,333.0,250.0,224.0,0.0,267.0,264.0,300.0
