食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,0.0,50.0,41.0,50.0,33.0,,,50.0,50.0,50.0,43.0,,42.0,43.0,
胡蘿蔔,0.0,46.0,41.0,41.0,33.0,,,41.0,42.0,50.0,38.0,,33.0,38.0,
麻竹筍,0.0,106.0,0.0,0.0,83.0,,,0.0,115.0,100.0,0.0,,0.0,0.0,
馬鈴薯,0.0,50.0,50.0,58.0,33.0,,,58.0,58.0,50.0,47.0,,42.0,47.0,
甘藍,0.0,36.0,33.0,33.0,20.0,,,33.0,33.0,25.0,18.0,,17.0,18.0,
小白菜,0.0,58.0,83.0,58.0,50.0,,,91.0,67.0,83.0,62.0,,67.0,62.0,
包心白菜,0.0,58.0,67.0,50.0,41.0,,,75.0,67.0,50.0,44.0,,58.0,53.0,
菠菜,0.0,67.0,91.0,83.0,75.0,,,100.0,83.0,100.0,72.0,,100.0,81.0,
青江白菜,0.0,66.0,83.0,66.0,50.0,,,91.0,75.0,83.0,52.0,,67.0,55.0,
空心菜,0.0,50.0,58.0,58.0,50.0,,,67.0,50.0,66.0,40.0,,42.0,0.0,
青蔥,0.0,58.0,67.0,58.0,41.0,,,67.0,50.0,50.0,45.0,,42.0,45.0,
韭菜,0.0,50.0,58.0,50.0,33.0,,,58.0,58.0,50.0,43.0,,50.0,43.0,
茄子,0.0,63.0,58.0,50.0,41.0,,,67.0,67.0,66.0,40.0,,50.0,40.0,
蕃茄,0.0,56.0,58.0,58.0,33.0,,,67.0,83.0,50.0,35.0,,33.0,35.0,
菜豆,0.0,67.0,83.0,66.0,75.0,,,100.0,100.0,100.0,55.0,,58.0,55.0,
大黃瓜,0.0,33.0,41.0,33.0,33.0,,,50.0,50.0,58.0,32.0,,33.0,32.0,
花椰菜,0.0,56.0,67.0,58.0,50.0,,,75.0,67.0,66.0,65.0,,75.0,63.0,
絲瓜,0.0,42.0,41.0,50.0,50.0,,,41.0,50.0,50.0,45.0,,50.0,41.0,
花胡瓜,0.0,63.0,75.0,66.0,50.0,,,83.0,70.0,83.0,61.0,,83.0,61.0,
苦瓜,0.0,72.0,83.0,75.0,58.0,,,91.0,75.0,50.0,53.0,,67.0,53.0,
青椒,0.0,55.0,67.0,50.0,41.0,,,67.0,67.0,66.0,44.0,,42.0,44.0,
芹菜,0.0,83.0,91.0,83.0,66.0,,,117.0,83.0,83.0,78.0,,50.0,78.0,
四季豆,0.0,91.0,133.0,83.0,83.0,,,150.0,150.0,116.0,91.0,,117.0,91.0,
牛蒡,0.0,83.0,83.0,83.0,66.0,,,83.0,67.0,83.0,75.0,,83.0,75.0,
生薑,0.0,100.0,100.0,100.0,75.0,,,117.0,117.0,100.0,83.0,,67.0,83.0,
芋頭,0.0,83.0,83.0,83.0,75.0,,,91.0,100.0,83.0,81.0,,83.0,81.0,
綠竹筍,0.0,167.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,
洋蔥,0.0,42.0,41.0,41.0,33.0,,,41.0,42.0,41.0,32.0,,33.0,32.0,
綠蘆筍,0.0,200.0,233.0,200.0,183.0,,,0.0,267.0,233.0,0.0,,233.0,0.0,
筊白筍,0.0,200.0,183.0,166.0,150.0,,,200.0,167.0,183.0,0.0,,0.0,0.0,
大芥菜,0.0,50.0,83.0,58.0,50.0,,,91.0,66.0,66.0,50.0,,58.0,45.0,
青蒜,0.0,100.0,133.0,100.0,83.0,,,150.0,117.0,116.0,92.0,,100.0,103.0,
蒜頭,0.0,200.0,200.0,200.0,150.0,,,200.0,200.0,200.0,170.0,,133.0,170.0,
甘藍芽,0.0,83.0,100.0,83.0,100.0,,,117.0,100.0,100.0,0.0,,83.0,0.0,
芥藍,0.0,66.0,91.0,66.0,75.0,,,91.0,67.0,83.0,53.0,,67.0,59.0,
莧菜,0.0,50.0,83.0,58.0,58.0,,,83.0,67.0,66.0,55.0,,58.0,49.0,
本島萵苣,0.0,60.0,91.0,66.0,75.0,,,100.0,83.0,83.0,0.0,,50.0,0.0,
萵苣,0.0,63.0,83.0,66.0,75.0,,,91.0,50.0,83.0,0.0,,58.0,0.0,
