食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,116.0,83.0,75.0,,67.0,83.0,92.0,83.0,83.0,,76.0,58.0,83.0,76.0,83.0
胡蘿蔔,116.0,83.0,100.0,,83.0,83.0,100.0,100.0,100.0,,80.0,50.0,83.0,88.0,116.0
麻竹筍,0.0,117.0,0.0,,150.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,116.0
馬鈴薯,116.0,83.0,83.0,,75.0,83.0,75.0,83.0,83.0,,74.0,50.0,50.0,72.0,83.0
甘藍,116.0,100.0,133.0,,117.0,100.0,83.0,133.0,116.0,,97.0,75.0,117.0,100.0,116.0
小白菜,116.0,86.0,83.0,,75.0,116.0,75.0,83.0,100.0,,80.0,58.0,58.0,72.0,100.0
包心白菜,133.0,100.0,116.0,,100.0,116.0,100.0,117.0,100.0,,100.0,0.0,117.0,96.0,116.0
菠菜,216.0,167.0,200.0,,183.0,266.0,200.0,200.0,200.0,,190.0,167.0,167.0,184.0,200.0
青江白菜,116.0,96.0,83.0,,75.0,133.0,75.0,92.0,100.0,,84.0,58.0,58.0,80.0,100.0
空心菜,116.0,67.0,67.0,,67.0,83.0,58.0,67.0,66.0,,66.0,58.0,42.0,68.0,83.0
青蔥,216.0,133.0,150.0,,133.0,200.0,167.0,183.0,183.0,,140.0,117.0,117.0,136.0,233.0
韭菜,133.0,83.0,75.0,,75.0,100.0,83.0,83.0,100.0,,85.0,75.0,58.0,96.0,100.0
茄子,267.0,133.0,150.0,,133.0,183.0,133.0,167.0,166.0,,110.0,92.0,92.0,136.0,0.0
蕃茄,216.0,133.0,150.0,,150.0,133.0,150.0,150.0,166.0,,130.0,83.0,150.0,136.0,166.0
菜豆,216.0,183.0,167.0,,150.0,200.0,167.0,167.0,167.0,,0.0,100.0,117.0,180.0,166.0
大黃瓜,116.0,100.0,83.0,,83.0,133.0,83.0,83.0,100.0,,90.0,83.0,83.0,88.0,100.0
