食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,75.0,33.0,33.0,41.0,30.0,41.0,33.0,33.0,,33.0,17.0,33.0,42.0,,41.0
胡蘿蔔,83.0,46.0,47.0,41.0,50.0,50.0,45.0,50.0,,50.0,33.0,25.0,25.0,,50.0
麻竹筍,116.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
馬鈴薯,83.0,58.0,58.0,58.0,50.0,58.0,58.0,58.0,,58.0,48.0,33.0,58.0,,58.0
甘藍,50.0,41.0,33.0,50.0,30.0,41.0,50.0,33.0,,41.0,33.0,33.0,30.0,,41.0
小白菜,100.0,66.0,67.0,75.0,58.0,75.0,83.0,75.0,,83.0,30.0,42.0,67.0,,83.0
包心白菜,83.0,58.0,58.0,50.0,50.0,66.0,50.0,67.0,,66.0,36.0,33.0,50.0,,62.0
菠菜,100.0,67.0,75.0,83.0,67.0,10.0,100.0,75.0,,83.0,50.0,50.0,67.0,,83.0
青江白菜,100.0,67.0,67.0,66.0,58.0,83.0,83.0,75.0,,83.0,40.0,42.0,50.0,,83.0
空心菜,83.0,58.0,58.0,50.0,50.0,58.0,58.0,58.0,,75.0,34.0,33.0,58.0,,66.0
青蔥,116.0,93.0,83.0,83.0,67.0,83.0,83.0,83.0,,83.0,73.0,67.0,67.0,,83.0
韭菜,100.0,58.0,58.0,50.0,50.0,58.0,58.0,58.0,,66.0,55.0,42.0,58.0,,80.0
茄子,83.0,66.0,75.0,66.0,67.0,83.0,67.0,83.0,,75.0,50.0,42.0,50.0,,66.0
蕃茄,116.0,95.0,67.0,75.0,67.0,83.0,83.0,75.0,,66.0,33.0,58.0,58.0,,83.0
菜豆,133.0,83.0,91.0,83.0,91.0,10.0,83.0,100.0,,83.0,50.0,67.0,75.0,,100.0
大黃瓜,83.0,42.0,58.0,50.0,58.0,58.0,42.0,58.0,,66.0,38.0,33.0,50.0,,58.0
花椰菜,108.0,75.0,75.0,66.0,67.0,66.0,67.0,83.0,,66.0,55.0,58.0,83.0,,68.0
絲瓜,83.0,41.0,58.0,41.0,58.0,58.0,42.0,58.0,,58.0,40.0,42.0,67.0,,66.0
花胡瓜,133.0,67.0,91.0,75.0,83.0,83.0,67.0,83.0,,100.0,60.0,50.0,67.0,,100.0
苦瓜,100.0,66.0,83.0,83.0,75.0,83.0,75.0,83.0,,75.0,50.0,58.0,75.0,,83.0
青椒,116.0,83.0,75.0,83.0,58.0,100.0,83.0,75.0,,100.0,65.0,58.0,83.0,,100.0
芹菜,133.0,108.0,100.0,100.0,83.0,100.0,100.0,100.0,,100.0,100.0,75.0,83.0,,100.0
四季豆,200.0,117.0,158.0,150.0,142.0,166.0,150.0,175.0,,166.0,120.0,100.0,117.0,,166.0
牛蒡,100.0,83.0,58.0,83.0,66.0,83.0,83.0,100.0,,83.0,74.0,42.0,83.0,,83.0
生薑,166.0,116.0,108.0,116.0,100.0,100.0,100.0,117.0,,116.0,100.0,83.0,83.0,,160.0
芋頭,100.0,83.0,75.0,83.0,83.0,100.0,83.0,100.0,,83.0,83.0,67.0,83.0,,83.0
綠竹筍,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
洋蔥,66.0,50.0,33.0,50.0,33.0,41.0,42.0,41.0,,50.0,40.0,27.0,42.0,,50.0
綠蘆筍,267.0,0.0,0.0,0.0,0.0,0.0,217.0,0.0,,0.0,0.0,0.0,0.0,,0.0
筊白筍,233.0,216.0,200.0,200.0,183.0,0.0,200.0,0.0,,216.0,0.0,0.0,0.0,,233.0
大芥菜,100.0,67.0,67.0,58.0,67.0,66.0,67.0,75.0,,66.0,0.0,42.0,58.0,,66.0
青蒜,200.0,167.0,167.0,166.0,150.0,166.0,167.0,175.0,,166.0,110.0,117.0,100.0,,200.0
蒜頭,166.0,133.0,133.0,166.0,100.0,166.0,167.0,133.0,,166.0,100.0,100.0,100.0,,166.0
甘藍芽,166.0,0.0,133.0,133.0,100.0,133.0,117.0,133.0,,100.0,0.0,0.0,0.0,,133.0
芥藍,133.0,100.0,75.0,83.0,67.0,83.0,67.0,75.0,,83.0,55.0,42.0,67.0,,83.0
莧菜,100.0,66.0,75.0,58.0,75.0,75.0,67.0,83.0,,83.0,50.0,42.0,67.0,,83.0
本島萵苣,133.0,67.0,83.0,66.0,75.0,83.0,67.0,83.0,,100.0,0.0,50.0,50.0,,100.0
萵苣,116.0,66.0,75.0,75.0,67.0,83.0,67.0,75.0,,83.0,0.0,0.0,75.0,,83.0
茼蒿,100.0,92.0,83.0,100.0,75.0,83.0,100.0,83.0,,83.0,0.0,58.0,75.0,,116.0
青花苔,116.0,75.0,91.0,66.0,83.0,83.0,67.0,91.0,,50.0,0.0,75.0,83.0,,100.0
金針菜乾,533.0,533.0,533.0,533.0,533.0,533.0,583.0,533.0,,800.0,0.0,750.0,750.0,,750.0
冬瓜,50.0,33.0,33.0,41.0,33.0,41.0,33.0,41.0,,41.0,33.0,25.0,33.0,,41.0
扁蒲,83.0,50.0,0.0,41.0,41.0,50.0,42.0,58.0,,58.0,25.0,42.0,42.0,,50.0
甜碗豆,216.0,116.0,133.0,133.0,117.0,133.0,133.0,133.0,,166.0,133.0,0.0,117.0,,166.0
碗豆,216.0,117.0,133.0,133.0,117.0,133.0,133.0,150.0,,166.0,133.0,0.0,150.0,,200.0
甜玉米,100.0,58.0,58.0,58.0,41.0,58.0,58.0,58.0,,66.0,45.0,42.0,58.0,,66.0
香菇乾,1,300.0,1,660.0,1,670.0,1,666.0,1,500.0,1,660.0,1,833.0,2,000.0,,1,667.0,1,600.0,1,250.0,1,333.0,,1,166.0
香菇溼,216.0,200.0,167.0,200.0,150.0,166.0,167.0,167.0,,200.0,160.0,100.0,167.0,,200.0
黑色木耳,166.0,116.0,117.0,116.0,100.0,116.0,117.0,133.0,,116.0,100.0,92.0,117.0,,133.0
香蕉,41.0,52.0,50.0,50.0,45.0,50.0,50.0,58.0,,41.0,33.0,0.0,48.0,,41.0
鳳梨17號,41.0,42.0,41.0,41.0,33.0,41.0,42.0,35.0,,41.0,42.0,0.0,42.0,,41.0
番石榴世紀,83.0,0.0,0.0,83.0,0.0,0.0,75.0,0.0,,0.0,70.0,0.0,65.0,,0.0
木瓜,83.0,83.0,83.0,83.0,75.0,83.0,67.0,83.0,,91.0,50.0,0.0,82.0,,91.0
小西瓜,0.0,33.0,30.0,33.0,30.0,0.0,33.0,33.0,,33.0,33.0,0.0,28.0,,33.0
甜瓜,0.0,82.0,75.0,75.0,67.0,0.0,75.0,75.0,,91.0,65.0,0.0,82.0,,82.0
洋香瓜,92.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,,0.0,75.0,0.0,82.0,,83.0
海梨柑,58.0,0.0,67.0,66.0,58.0,58.0,3.0,67.0,,58.0,0.0,0.0,58.0,,0.0
文旦,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
柳橙,41.0,0.0,41.0,41.0,33.0,41.0,42.0,41.0,,50.0,33.0,0.0,48.0,,50.0
椪柑,83.0,0.0,58.0,75.0,50.0,58.0,75.0,67.0,,58.0,58.0,0.0,65.0,,58.0
楊桃,50.0,58.0,0.0,0.0,0.0,0.0,75.0,0.0,,0.0,50.0,0.0,58.0,,0.0
蓮霧,183.0,0.0,150.0,100.0,133.0,116.0,150.0,167.0,,100.0,0.0,0.0,148.0,,0.0
鶯歌桃,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
紅柿子,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,65.0,,0.0
巨峰葡萄,166.0,150.0,133.0,166.0,133.0,150.0,150.0,150.0,,150.0,117.0,0.0,132.0,,133.0
黑葉荔枝,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
在來芒果,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
新世紀梨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,132.0,,0.0
棗子,133.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,,0.0,0.0,0.0,132.0,,0.0
紅肉李,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
玉李,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
荔枝玉荷,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
鳳梨開英,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0
桶柑,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,65.0,,0.0
檸檬,125.0,100.0,117.0,100.0,100.0,100.0,83.0,117.0,,100.0,60.0,0.0,98.0,,83.0
茂谷柑,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,115.0,,0.0
白柚,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,,83.0,0.0,0.0,65.0,,0.0
甜桃,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,200.0,,0.0
