食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,83.0,50.0,50.0,50.0,41.0,33.0,33.0,58.0,66.0,50.0,40.0,33.0,42.0,42.0,41.0
胡蘿蔔,83.0,55.0,50.0,58.0,53.0,58.0,58.0,55.0,58.0,58.0,50.0,42.0,42.0,54.0,50.0
麻竹筍,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
馬鈴薯,83.0,58.0,55.0,58.0,53.0,58.0,58.0,55.0,58.0,58.0,50.0,38.0,42.0,54.0,50.0
甘藍,66.0,67.0,75.0,66.0,67.0,83.0,75.0,75.0,66.0,66.0,55.0,58.0,47.0,56.0,50.0
小白菜,166.0,100.0,108.0,133.0,100.0,83.0,117.0,117.0,116.0,133.0,65.0,58.0,83.0,100.0,116.0
包心白菜,116.0,100.0,108.0,116.0,100.0,100.0,67.0,117.0,116.0,133.0,80.0,0.0,75.0,88.0,116.0
菠菜,166.0,133.0,125.0,133.0,100.0,133.0,100.0,133.0,133.0,133.0,90.0,75.0,83.0,108.0,133.0
青江白菜,150.0,116.0,108.0,116.0,100.0,83.0,117.0,117.0,133.0,133.0,82.0,50.0,83.0,100.0,116.0
空心菜,133.0,83.0,0.0,0.0,92.0,66.0,0.0,0.0,100.0,100.0,80.0,0.0,100.0,88.0,83.0
青蔥,166.0,126.0,133.0,183.0,117.0,133.0,133.0,150.0,150.0,133.0,100.0,75.0,117.0,128.0,150.0
韭菜,116.0,66.0,75.0,75.0,67.0,83.0,50.0,83.0,66.0,66.0,60.0,42.0,58.0,68.0,66.0
茄子,133.0,83.0,100.0,100.0,92.0,83.0,67.0,100.0,100.0,100.0,75.0,42.0,67.0,82.0,100.0
蕃茄,116.0,100.0,67.0,100.0,67.0,150.0,75.0,83.0,116.0,100.0,80.0,58.0,75.0,88.0,116.0
菜豆,200.0,108.0,0.0,100.0,0.0,116.0,75.0,0.0,83.0,0.0,0.0,58.0,0.0,0.0,83.0
大黃瓜,133.0,83.0,92.0,83.0,83.0,75.0,67.0,100.0,133.0,116.0,70.0,42.0,83.0,80.0,116.0
花椰菜,133.0,100.0,92.0,91.0,92.0,116.0,83.0,100.0,116.0,133.0,80.0,58.0,100.0,86.0,150.0
絲瓜,116.0,75.0,92.0,83.0,83.0,58.0,58.0,92.0,100.0,83.0,76.0,58.0,100.0,80.0,83.0
花胡瓜,233.0,130.0,167.0,116.0,150.0,116.0,100.0,183.0,233.0,166.0,100.0,58.0,183.0,112.0,200.0
苦瓜,200.0,116.0,150.0,133.0,117.0,116.0,100.0,167.0,0.0,0.0,100.0,55.0,117.0,106.0,100.0
青椒,200.0,78.0,117.0,133.0,92.0,233.0,75.0,108.0,150.0,133.0,90.0,58.0,83.0,96.0,150.0
芹菜,200.0,133.0,150.0,166.0,125.0,166.0,100.0,150.0,166.0,133.0,110.0,75.0,133.0,120.0,150.0
