食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,,,,41.0,30.0,66.0,33.0,,41.0,33.0,15.0,33.0,42.0,38.0,41.0
胡蘿蔔,,,,41.0,50.0,50.0,45.0,,50.0,50.0,33.0,25.0,25.0,34.0,50.0
麻竹筍,,,,0.0,83.0,100.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
馬鈴薯,,,,58.0,50.0,50.0,58.0,,58.0,58.0,48.0,33.0,58.0,52.0,58.0
甘藍,,,,41.0,30.0,83.0,50.0,,41.0,33.0,33.0,33.0,33.0,34.0,41.0
小白菜,,,,75.0,67.0,83.0,83.0,,83.0,83.0,30.0,42.0,67.0,72.0,83.0
包心白菜,,,,50.0,50.0,83.0,50.0,,62.0,50.0,36.0,33.0,50.0,58.0,62.0
菠菜,,,,83.0,67.0,200.0,100.0,,83.0,83.0,50.0,50.0,67.0,76.0,83.0
青江白菜,,,,66.0,67.0,83.0,83.0,,83.0,83.0,40.0,42.0,67.0,68.0,83.0
空心菜,,,,50.0,50.0,66.0,58.0,,66.0,66.0,34.0,33.0,58.0,50.0,66.0
青蔥,,,,83.0,67.0,83.0,83.0,,83.0,83.0,70.0,67.0,58.0,66.0,83.0
韭菜,,,,58.0,50.0,50.0,58.0,,80.0,66.0,55.0,42.0,83.0,58.0,80.0
茄子,,,,66.0,67.0,58.0,67.0,,66.0,66.0,50.0,42.0,50.0,52.0,66.0
蕃茄,,,,83.0,67.0,100.0,83.0,,83.0,83.0,33.0,58.0,58.0,70.0,83.0
菜豆,,,,83.0,91.0,100.0,83.0,,100.0,83.0,50.0,67.0,0.0,72.0,100.0
大黃瓜,,,,50.0,58.0,50.0,42.0,,58.0,58.0,38.0,33.0,58.0,48.0,58.0
花椰菜,,,,66.0,67.0,116.0,67.0,,68.0,50.0,54.0,58.0,83.0,70.0,68.0
絲瓜,,,,41.0,58.0,41.0,42.0,,66.0,50.0,40.0,33.0,58.0,48.0,66.0
花胡瓜,,,,75.0,75.0,58.0,67.0,,100.0,83.0,60.0,50.0,75.0,64.0,100.0
苦瓜,,,,83.0,75.0,83.0,75.0,,83.0,66.0,50.0,58.0,58.0,62.0,83.0
青椒,,,,83.0,58.0,83.0,83.0,,100.0,100.0,65.0,58.0,67.0,68.0,100.0
芹菜,,,,100.0,83.0,116.0,100.0,,100.0,100.0,100.0,75.0,100.0,92.0,100.0
四季豆,,,,133.0,133.0,116.0,150.0,,166.0,150.0,100.0,100.0,117.0,0.0,166.0
牛蒡,,,,83.0,66.0,83.0,83.0,,83.0,83.0,74.0,42.0,83.0,78.0,83.0
生薑,,,,116.0,100.0,100.0,100.0,,160.0,116.0,100.0,91.0,83.0,112.0,160.0
