食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,83.0,50.0,50.0,50.0,41.0,50.0,50.0,50.0,66.0,50.0,50.0,45.0,50.0,47.0,50.0
胡蘿蔔,50.0,42.0,33.0,41.0,33.0,41.0,33.0,33.0,50.0,41.0,40.0,45.0,33.0,38.0,41.0
麻竹筍,117.0,83.0,83.0,83.0,75.0,0.0,100.0,100.0,0.0,83.0,75.0,75.0,83.0,0.0,83.0
馬鈴薯,66.0,58.0,50.0,50.0,41.0,50.0,50.0,50.0,58.0,50.0,55.0,50.0,50.0,48.0,50.0
甘藍,58.0,50.0,41.0,50.0,50.0,50.0,50.0,50.0,58.0,58.0,40.0,38.0,47.0,47.0,58.0
小白菜,100.0,70.0,50.0,83.0,58.0,66.0,42.0,58.0,50.0,66.0,65.0,66.0,33.0,61.0,83.0
包心白菜,66.0,58.0,50.0,58.0,50.0,50.0,42.0,58.0,66.0,58.0,55.0,66.0,58.0,56.0,58.0
菠菜,133.0,108.0,100.0,116.0,75.0,100.0,83.0,117.0,150.0,116.0,100.0,83.0,133.0,100.0,100.0
青江白菜,83.0,75.0,58.0,83.0,58.0,66.0,42.0,67.0,66.0,66.0,70.0,75.0,33.0,55.0,83.0
空心菜,66.0,60.0,41.0,66.0,50.0,50.0,33.0,50.0,66.0,66.0,56.0,58.0,42.0,53.0,66.0
青蔥,83.0,63.0,50.0,58.0,41.0,50.0,42.0,58.0,58.0,50.0,48.0,50.0,42.0,48.0,50.0
韭菜,83.0,50.0,41.0,50.0,41.0,50.0,42.0,50.0,50.0,50.0,46.0,50.0,58.0,53.0,50.0
茄子,100.0,67.0,58.0,66.0,50.0,50.0,50.0,58.0,83.0,66.0,58.0,50.0,50.0,57.0,66.0
蕃茄,100.0,63.0,58.0,66.0,50.0,50.0,58.0,58.0,83.0,66.0,45.0,50.0,42.0,45.0,66.0
