食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,66.0,,,,,,67.0,,,,53.0,,,,66.0
胡蘿蔔,66.0,,,,,,58.0,,,,30.0,,,,50.0
麻竹筍,100.0,,,,,,83.0,,,,33.0,,,,83.0
馬鈴薯,66.0,,,,,,58.0,,,,55.0,,,,58.0
甘藍,75.0,,,,,,75.0,,,,75.0,,,,83.0
小白菜,100.0,,,,,,100.0,,,,70.0,,,,83.0
包心白菜,100.0,,,,,,83.0,,,,66.0,,,,83.0
菠菜,200.0,,,,,,183.0,,,,140.0,,,,166.0
青江白菜,100.0,,,,,,92.0,,,,60.0,,,,83.0
空心菜,83.0,,,,,,58.0,,,,43.0,,,,58.0
青蔥,100.0,,,,,,100.0,,,,65.0,,,,66.0
韭菜,100.0,,,,,,67.0,,,,55.0,,,,58.0
茄子,133.0,,,,,,67.0,,,,50.0,,,,66.0
蕃茄,150.0,,,,,,100.0,,,,60.0,,,,100.0
菜豆,150.0,,,,,,83.0,,,,70.0,,,,83.0
大黃瓜,83.0,,,,,,50.0,,,,54.0,,,,50.0
花椰菜,166.0,,,,,,117.0,,,,110.0,,,,116.0
絲瓜,83.0,,,,,,75.0,,,,55.0,,,,50.0
花胡瓜,133.0,,,,,,117.0,,,,55.0,,,,83.0
苦瓜,116.0,,,,,,83.0,,,,67.0,,,,83.0
青椒,116.0,,,,,,83.0,,,,58.0,,,,100.0
芹菜,166.0,,,,,,117.0,,,,110.0,,,,133.0
四季豆,267.0,,,,,,167.0,,,,133.0,,,,150.0
牛蒡,100.0,,,,,,75.0,,,,76.0,,,,100.0
生薑,133.0,,,,,,100.0,,,,100.0,,,,150.0
芋頭,100.0,,,,,,83.0,,,,83.0,,,,83.0
綠竹筍,166.0,,,,,,100.0,,,,67.0,,,,116.0
洋蔥,66.0,,,,,,50.0,,,,40.0,,,,50.0
綠蘆筍,267.0,,,,,,233.0,,,,240.0,,,,0.0
筊白筍,300.0,,,,,,200.0,,,,167.0,,,,167.0
大芥菜,116.0,,,,,,83.0,,,,0.0,,,,0.0
青蒜,267.0,,,,,,250.0,,,,200.0,,,,216.0
蒜頭,166.0,,,,,,100.0,,,,120.0,,,,133.0
甘藍芽,200.0,,,,,,167.0,,,,0.0,,,,0.0
芥藍,116.0,,,,,,83.0,,,,60.0,,,,83.0
莧菜,100.0,,,,,,75.0,,,,68.0,,,,58.0
本島萵苣,116.0,,,,,,83.0,,,,0.0,,,,83.0
萵苣,100.0,,,,,,100.0,,,,0.0,,,,83.0
茼蒿,0.0,,,,,,0.0,,,,0.0,,,,0.0
青花苔,0.0,,,,,,0.0,,,,100.0,,,,116.0
金針菜乾,533.0,,,,,,583.0,,,,0.0,,,,533.0
冬瓜,50.0,,,,,,50.0,,,,33.0,,,,50.0
扁蒲,66.0,,,,,,50.0,,,,36.0,,,,50.0
甜碗豆,233.0,,,,,,0.0,,,,0.0,,,,0.0
碗豆,233.0,,,,,,0.0,,,,167.0,,,,100.0
甜玉米,133.0,,,,,,58.0,,,,60.0,,,,83.0
香菇乾,1200.0,,,,,,2000.0,,,,1200.0,,,,1166.0
