食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,66.0,50.0,50.0,58.0,41.0,50.0,58.0,50.0,58.0,58.0,50.0,50.0,33.0,46.0,58.0
胡蘿蔔,58.0,50.0,50.0,50.0,36.0,41.0,50.0,50.0,50.0,41.0,45.0,41.0,33.0,43.0,41.0
麻竹筍,100.0,83.0,83.0,66.0,58.0,83.0,67.0,100.0,83.0,66.0,60.0,63.0,58.0,0.0,66.0
馬鈴薯,66.0,50.0,58.0,50.0,41.0,50.0,50.0,58.0,58.0,50.0,52.0,50.0,47.0,49.0,50.0
甘藍,58.0,67.0,67.0,75.0,50.0,67.0,67.0,75.0,83.0,83.0,67.0,63.0,83.0,69.0,83.0
小白菜,66.0,60.0,50.0,66.0,50.0,66.0,67.0,58.0,66.0,66.0,60.0,58.0,42.0,58.0,66.0
包心白菜,83.0,58.0,58.0,58.0,50.0,50.0,50.0,58.0,66.0,66.0,60.0,66.0,42.0,59.0,66.0
菠菜,166.0,142.0,133.0,150.0,133.0,150.0,158.0,150.0,150.0,150.0,150.0,141.0,167.0,146.0,150.0
青江白菜,83.0,63.0,50.0,75.0,58.0,66.0,75.0,58.0,66.0,66.0,55.0,58.0,40.0,56.0,66.0
空心菜,83.0,58.0,41.0,50.0,50.0,50.0,50.0,41.0,50.0,41.0,45.0,58.0,25.0,55.0,41.0
青蔥,117.0,67.0,58.0,66.0,45.0,58.0,67.0,58.0,100.0,66.0,48.0,58.0,58.0,52.0,66.0
韭菜,83.0,50.0,58.0,50.0,41.0,50.0,50.0,58.0,50.0,50.0,55.0,55.0,33.0,53.0,50.0
茄子,100.0,66.0,67.0,58.0,41.0,50.0,58.0,67.0,83.0,66.0,42.0,50.0,50.0,58.0,66.0
蕃茄,133.0,75.0,83.0,100.0,75.0,80.0,100.0,91.0,116.0,100.0,68.0,66.0,83.0,71.0,100.0
菜豆,100.0,83.0,83.0,66.0,58.0,83.0,67.0,117.0,83.0,66.0,76.0,66.0,47.0,69.0,66.0
大黃瓜,58.0,50.0,33.0,41.0,41.0,50.0,42.0,41.0,50.0,33.0,54.0,41.0,17.0,45.0,33.0
花椰菜,166.0,93.0,100.0,100.0,75.0,100.0,108.0,117.0,133.0,116.0,84.0,83.0,100.0,81.0,116.0
絲瓜,66.0,46.0,33.0,41.0,41.0,41.0,42.0,33.0,33.0,33.0,42.0,50.0,17.0,41.0,33.0
花胡瓜,100.0,67.0,58.0,83.0,58.0,66.0,67.0,67.0,66.0,75.0,60.0,66.0,58.0,60.0,75.0
苦瓜,100.0,78.0,67.0,66.0,58.0,66.0,67.0,75.0,75.0,50.0,60.0,66.0,25.0,52.0,50.0
青椒,166.0,75.0,100.0,83.0,58.0,83.0,75.0,117.0,166.0,83.0,60.0,75.0,50.0,65.0,83.0
芹菜,266.0,106.0,183.0,116.0,166.0,116.0,117.0,200.0,200.0,166.0,110.0,133.0,142.0,106.0,166.0
四季豆,150.0,126.0,150.0,116.0,116.0,133.0,133.0,150.0,133.0,133.0,110.0,125.0,83.0,120.0,133.0
牛蒡,100.0,83.0,83.0,83.0,66.0,83.0,75.0,83.0,66.0,83.0,78.0,66.0,42.0,76.0,83.0
生薑,133.0,100.0,100.0,100.0,83.0,100.0,100.0,100.0,116.0,100.0,80.0,91.0,60.0,91.0,100.0
芋頭,108.0,83.0,83.0,83.0,75.0,83.0,83.0,83.0,100.0,83.0,80.0,66.0,100.0,81.0,83.0
綠竹筍,166.0,110.0,100.0,116.0,116.0,116.0,117.0,100.0,116.0,116.0,100.0,0.0,100.0,0.0,116.0
