食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,58.0,58.0,41.0,41.0,41.0,50.0,25.0,50.0,41.0,50.0,35.0,41.0,33.0,43.0,42.0
胡蘿蔔,66.0,56.0,50.0,58.0,50.0,50.0,50.0,50.0,66.0,58.0,50.0,45.0,50.0,47.0,58.0
麻竹筍,100.0,95.0,0.0,66.0,66.0,83.0,75.0,83.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
馬鈴薯,83.0,67.0,50.0,58.0,50.0,58.0,50.0,50.0,66.0,58.0,52.0,50.0,58.0,53.0,67.0
甘藍,66.0,60.0,41.0,58.0,50.0,83.0,50.0,50.0,58.0,66.0,58.0,50.0,42.0,58.0,83.0
小白菜,83.0,50.0,50.0,58.0,50.0,83.0,50.0,58.0,66.0,66.0,45.0,41.0,42.0,45.0,67.0
包心白菜,58.0,42.0,41.0,41.0,41.0,66.0,42.0,50.0,41.0,50.0,45.0,41.0,33.0,42.0,58.0
菠菜,83.0,83.0,58.0,66.0,50.0,116.0,75.0,67.0,66.0,66.0,50.0,66.0,42.0,62.0,67.0
青江白菜,83.0,50.0,50.0,58.0,50.0,83.0,50.0,58.0,66.0,66.0,50.0,41.0,42.0,49.0,66.0
空心菜,66.0,47.0,41.0,50.0,41.0,66.0,42.0,41.0,66.0,50.0,40.0,33.0,50.0,41.0,50.0
青蔥,133.0,120.0,83.0,83.0,66.0,116.0,75.0,100.0,116.0,83.0,100.0,91.0,67.0,89.0,83.0
韭菜,100.0,58.0,58.0,58.0,50.0,66.0,50.0,67.0,83.0,58.0,58.0,58.0,58.0,58.0,67.0
茄子,100.0,67.0,67.0,66.0,50.0,100.0,67.0,67.0,83.0,66.0,45.0,58.0,50.0,61.0,83.0
蕃茄,183.0,150.0,117.0,100.0,83.0,116.0,133.0,133.0,133.0,116.0,80.0,91.0,67.0,0.0,133.0
菜豆,100.0,83.0,83.0,83.0,66.0,83.0,83.0,91.0,100.0,83.0,74.0,75.0,67.0,82.0,100.0
大黃瓜,58.0,46.0,33.0,41.0,33.0,66.0,33.0,33.0,41.0,33.0,48.0,36.0,50.0,45.0,42.0
花椰菜,100.0,100.0,58.0,66.0,50.0,133.0,50.0,67.0,66.0,50.0,80.0,75.0,83.0,86.0,67.0
絲瓜,50.0,60.0,41.0,41.0,41.0,66.0,50.0,50.0,41.0,50.0,47.0,46.0,42.0,47.0,50.0
花胡瓜,83.0,58.0,58.0,66.0,33.0,83.0,50.0,67.0,66.0,50.0,60.0,46.0,50.0,48.0,42.0
苦瓜,83.0,80.0,67.0,66.0,66.0,100.0,67.0,67.0,75.0,66.0,80.0,66.0,83.0,61.0,67.0
青椒,133.0,100.0,75.0,91.0,83.0,116.0,83.0,83.0,116.0,100.0,85.0,100.0,83.0,83.0,100.0
芹菜,166.0,116.0,108.0,116.0,100.0,166.0,100.0,117.0,100.0,116.0,120.0,108.0,100.0,112.0,100.0
四季豆,133.0,125.0,100.0,100.0,100.0,166.0,83.0,117.0,116.0,100.0,130.0,116.0,100.0,113.0,100.0
牛蒡,83.0,83.0,83.0,83.0,66.0,83.0,75.0,75.0,75.0,83.0,70.0,66.0,75.0,80.0,100.0
生薑,133.0,100.0,100.0,116.0,83.0,100.0,83.0,83.0,116.0,133.0,85.0,100.0,83.0,86.0,100.0
芋頭,100.0,92.0,83.0,83.0,66.0,83.0,75.0,83.0,83.0,83.0,75.0,75.0,75.0,78.0,83.0
綠竹筍,166.0,0.0,0.0,116.0,100.0,117.0,0.0,133.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0
洋蔥,66.0,58.0,41.0,50.0,41.0,41.0,42.0,33.0,66.0,58.0,50.0,41.0,50.0,46.0,58.0
綠蘆筍,300.0,300.0,0.0,0.0,266.0,0.0,333.0,333.0,0.0,300.0,0.0,300.0,0.0,0.0,333.0
筊白筍,217.0,183.0,183.0,183.0,150.0,200.0,217.0,217.0,216.0,200.0,165.0,200.0,200.0,0.0,250.0
