食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,83.0,58.0,50.0,58.0,50.0,41.0,58.0,42.0,75.0,,50.0,42.0,58.0,52.0,58.0
胡蘿蔔,66.0,46.0,41.0,50.0,41.0,50.0,42.0,42.0,58.0,,38.0,33.0,42.0,42.0,50.0
麻竹筍,133.0,100.0,100.0,100.0,92.0,0.0,100.0,100.0,116.0,,25.0,67.0,0.0,0.0,83.0
馬鈴薯,75.0,58.0,50.0,58.0,47.0,58.0,58.0,50.0,66.0,,48.0,33.0,42.0,48.0,50.0
甘藍,58.0,67.0,67.0,58.0,67.0,58.0,58.0,70.0,50.0,,58.0,58.0,67.0,60.0,58.0
小白菜,83.0,66.0,58.0,83.0,58.0,58.0,83.0,58.0,75.0,,52.0,42.0,33.0,52.0,83.0
包心白菜,83.0,75.0,67.0,75.0,58.0,75.0,75.0,67.0,75.0,,68.0,0.0,67.0,60.0,66.0
菠菜,213.0,133.0,167.0,166.0,150.0,100.0,133.0,170.0,200.0,,118.0,108.0,167.0,128.0,133.0
青江白菜,83.0,83.0,58.0,83.0,58.0,66.0,83.0,63.0,83.0,,52.0,42.0,33.0,56.0,83.0
空心菜,83.0,50.0,41.0,50.0,41.0,50.0,58.0,42.0,66.0,,42.0,33.0,25.0,46.0,41.0
青蔥,150.0,100.0,100.0,116.0,83.0,66.0,108.0,98.0,133.0,,85.0,83.0,92.0,96.0,83.0
韭菜,100.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,83.0,,56.0,42.0,58.0,50.0,66.0
茄子,133.0,85.0,83.0,83.0,83.0,63.0,83.0,83.0,133.0,,50.0,42.0,50.0,68.0,66.0
蕃茄,166.0,100.0,133.0,116.0,117.0,83.0,117.0,133.0,158.0,,78.0,58.0,83.0,82.0,83.0
菜豆,133.0,116.0,83.0,91.0,83.0,83.0,92.0,83.0,116.0,,78.0,67.0,50.0,80.0,100.0
大黃瓜,66.0,50.0,41.0,50.0,35.0,50.0,50.0,41.0,58.0,,48.0,33.0,42.0,46.0,50.0
花椰菜,166.0,133.0,0.0,133.0,133.0,83.0,133.0,0.0,166.0,,86.0,75.0,0.0,92.0,100.0
絲瓜,66.0,42.0,45.0,50.0,33.0,41.0,42.0,45.0,66.0,,44.0,42.0,33.0,42.0,50.0
花胡瓜,100.0,67.0,67.0,83.0,75.0,50.0,83.0,70.0,83.0,,56.0,50.0,50.0,56.0,83.0
苦瓜,108.0,75.0,75.0,75.0,75.0,83.0,83.0,75.0,108.0,,60.0,58.0,83.0,72.0,83.0
青椒,133.0,83.0,117.0,100.0,100.0,83.0,100.0,110.0,116.0,,72.0,58.0,67.0,80.0,116.0
芹菜,166.0,116.0,117.0,133.0,100.0,100.0,133.0,118.0,166.0,,100.0,100.0,117.0,108.0,116.0
四季豆,213.0,133.0,167.0,166.0,167.0,133.0,167.0,170.0,200.0,,0.0,100.0,0.0,0.0,166.0
牛蒡,100.0,75.0,67.0,83.0,83.0,83.0,75.0,71.0,83.0,,80.0,50.0,83.0,80.0,83.0
生薑,133.0,117.0,133.0,116.0,116.0,100.0,117.0,133.0,133.0,,100.0,83.0,100.0,104.0,116.0
芋頭,100.0,83.0,83.0,83.0,83.0,83.0,83.0,87.0,83.0,,80.0,75.0,83.0,80.0,83.0
綠竹筍,213.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,200.0,,75.0,0.0,0.0,0.0,0.0
洋蔥,66.0,50.0,41.0,50.0,50.0,41.0,50.0,41.0,66.0,,42.0,33.0,42.0,42.0,50.0
綠蘆筍,267.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,233.0,,0.0,0.0,0.0,0.0,300.0
筊白筍,267.0,233.0,217.0,266.0,200.0,0.0,217.0,217.0,250.0,,0.0,0.0,0.0,0.0,216.0
大芥菜,133.0,67.0,58.0,0.0,58.0,83.0,67.0,60.0,116.0,,0.0,0.0,0.0,0.0,83.0
青蒜,267.0,167.0,217.0,183.0,200.0,116.0,183.0,217.0,250.0,,156.0,0.0,200.0,176.0,166.0
蒜頭,200.0,150.0,150.0,200.0,150.0,166.0,183.0,150.0,200.0,,136.0,117.0,183.0,156.0,166.0
甘藍芽,213.0,133.0,150.0,166.0,150.0,133.0,167.0,150.0,200.0,,0.0,0.0,0.0,0.0,133.0
芥藍,133.0,92.0,75.0,91.0,75.0,66.0,100.0,75.0,116.0,,60.0,50.0,50.0,68.0,83.0
莧菜,100.0,67.0,83.0,66.0,83.0,66.0,83.0,83.0,83.0,,60.0,50.0,58.0,68.0,50.0
本島萵苣,100.0,86.0,83.0,91.0,83.0,0.0,92.0,83.0,83.0,,0.0,50.0,42.0,0.0,83.0
萵苣,100.0,85.0,67.0,100.0,67.0,0.0,100.0,73.0,83.0,,0.0,0.0,0.0,0.0,0.0
茼蒿,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
青花苔,0.0,67.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,,0.0,75.0,0.0,0.0,0.0
金針菜乾,600.0,533.0,533.0,533.0,533.0,533.0,583.0,533.0,600.0,,0.0,750.0,750.0,0.0,800.0
冬瓜,58.0,33.0,33.0,33.0,33.0,41.0,33.0,33.0,50.0,,38.0,25.0,42.0,36.0,41.0
扁蒲,66.0,50.0,0.0,41.0,50.0,50.0,42.0,0.0,58.0,,0.0,42.0,50.0,0.0,41.0
甜碗豆,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,,167.0,0.0,0.0,0.0,0.0
碗豆,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,,167.0,0.0,0.0,0.0,0.0
甜玉米,100.0,58.0,58.0,58.0,66.0,58.0,58.0,58.0,83.0,,56.0,42.0,67.0,56.0,58.0
香菇乾,1800.0,1667.0,1667.0,1666.0,1500.0,1660.0,1833.0,1667.0,1600.0,,0.0,1250.0,1333.0,0.0,1667.0
香菇溼,213.0,200.0,183.0,200.0,150.0,166.0,183.0,183.0,200.0,,154.0,117.0,167.0,156.0,150.0
黑色木耳,166.0,116.0,117.0,116.0,100.0,116.0,117.0,118.0,150.0,,108.0,100.0,117.0,108.0,116.0
香蕉,50.0,36.0,41.0,41.0,41.0,50.0,42.0,33.0,41.0,,33.0,0.0,58.0,40.0,41.0
鳳梨17號,41.0,41.0,41.0,41.0,33.0,41.0,33.0,33.0,33.0,,33.0,0.0,48.0,36.0,33.0
番石榴世紀,58.0,42.0,0.0,58.0,0.0,0.0,50.0,0.0,50.0,,42.0,0.0,32.0,0.0,0.0
木瓜,41.0,37.0,41.0,41.0,41.0,50.0,42.0,40.0,41.0,,33.0,0.0,42.0,38.0,33.0
小西瓜,30.0,33.0,30.0,33.0,25.0,30.0,30.0,30.0,25.0,,25.0,0.0,22.0,26.0,25.0
甜瓜,75.0,75.0,67.0,66.0,58.0,0.0,75.0,67.0,66.0,,0.0,0.0,82.0,0.0,0.0
洋香瓜,66.0,83.0,83.0,83.0,83.0,0.0,83.0,83.0,66.0,,68.0,0.0,82.0,76.0,83.0
海梨柑,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
文旦,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
柳橙,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,50.0,0.0,0.0
椪柑,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
楊桃,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,,42.0,0.0,58.0,0.0,0.0
蓮霧,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,132.0,0.0,0.0
鶯歌桃,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
紅柿子,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
巨峰葡萄,133.0,133.0,133.0,150.0,133.0,150.0,117.0,130.0,133.0,,130.0,0.0,115.0,128.0,133.0
黑葉荔枝,0.0,58.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
在來芒果,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
新世紀梨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,115.0,0.0,0.0
棗子,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
紅肉李,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,83.0
玉李,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
荔枝玉荷,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
鳳梨開英,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,,0.0,0.0,0.0,0.0,0.0
桶柑,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
檸檬,58.0,72.0,50.0,58.0,41.0,83.0,50.0,63.0,50.0,,63.0,0.0,48.0,0.0,66.0
茂谷柑,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
白柚,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
甜桃,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
水蜜桃,333.0,117.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
牛心柿,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
甜柿,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
橫山梨,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,0.0,0.0,98.0,0.0,0.0
