食物,國民市場,鹽埕示範,新興第二,三民第二,左營第四,鼓山第三,楠梓市場,三民第一,苓雅市場,中華市場,旗山第一,鳳山第一,岡山文賢,大寮大發,橋頭市場
蘿蔔,58.0,36.0,33.0,33.0,33.0,33.0,42.0,33.0,41.0,33.0,30.0,30.0,42.0,35.0,42.0
胡蘿蔔,58.0,50.0,41.0,41.0,41.0,50.0,50.0,50.0,50.0,50.0,30.0,30.0,33.0,36.0,33.0
麻竹筍,0.0,0.0,0.0,0.0,66.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
馬鈴薯,83.0,58.0,50.0,50.0,41.0,58.0,58.0,58.0,58.0,58.0,50.0,50.0,58.0,55.0,58.0
甘藍,41.0,30.0,30.0,33.0,25.0,33.0,25.0,33.0,25.0,33.0,33.0,25.0,25.0,26.0,25.0
小白菜,83.0,55.0,50.0,66.0,41.0,50.0,50.0,58.0,50.0,66.0,50.0,50.0,42.0,53.0,42.0
包心白菜,58.0,47.0,41.0,41.0,33.0,41.0,42.0,50.0,50.0,50.0,38.0,30.0,33.0,36.0,33.0
菠菜,83.0,67.0,58.0,66.0,58.0,66.0,58.0,75.0,66.0,66.0,60.0,50.0,50.0,56.0,50.0
青江白菜,83.0,63.0,58.0,58.0,50.0,50.0,50.0,58.0,58.0,66.0,53.0,50.0,50.0,52.0,50.0
空心菜,83.0,58.0,58.0,66.0,50.0,58.0,58.0,67.0,0.0,66.0,36.0,50.0,67.0,56.0,67.0
青蔥,100.0,73.0,83.0,66.0,50.0,83.0,67.0,83.0,83.0,66.0,65.0,58.0,42.0,52.0,42.0
韭菜,83.0,58.0,50.0,58.0,41.0,58.0,50.0,58.0,66.0,58.0,58.0,50.0,58.0,56.0,58.0
茄子,100.0,72.0,67.0,66.0,50.0,66.0,67.0,75.0,83.0,66.0,53.0,58.0,58.0,60.0,58.0
蕃茄,83.0,83.0,67.0,66.0,41.0,83.0,75.0,75.0,75.0,66.0,42.0,58.0,50.0,56.0,50.0
菜豆,117.0,100.0,83.0,83.0,58.0,83.0,83.0,83.0,116.0,0.0,70.0,66.0,75.0,72.0,75.0
大黃瓜,66.0,46.0,41.0,41.0,33.0,41.0,50.0,41.0,50.0,33.0,38.0,38.0,58.0,52.0,58.0
花椰菜,83.0,67.0,58.0,50.0,50.0,58.0,67.0,58.0,66.0,50.0,50.0,58.0,58.0,60.0,58.0
絲瓜,83.0,46.0,41.0,41.0,41.0,50.0,50.0,41.0,50.0,50.0,50.0,41.0,58.0,52.0,58.0
花胡瓜,83.0,67.0,67.0,66.0,41.0,58.0,50.0,67.0,75.0,66.0,40.0,50.0,58.0,52.0,58.0
苦瓜,100.0,83.0,75.0,66.0,50.0,83.0,75.0,83.0,100.0,66.0,100.0,75.0,83.0,72.0,83.0
青椒,100.0,76.0,67.0,66.0,58.0,83.0,67.0,75.0,83.0,66.0,65.0,50.0,67.0,64.0,67.0
芹菜,117.0,100.0,92.0,83.0,66.0,116.0,100.0,100.0,83.0,83.0,80.0,75.0,83.0,84.0,83.0
四季豆,183.0,116.0,100.0,100.0,83.0,116.0,100.0,100.0,150.0,116.0,100.0,116.0,83.0,92.0,83.0
牛蒡,100.0,83.0,83.0,83.0,66.0,83.0,67.0,100.0,83.0,83.0,80.0,58.0,83.0,76.0,83.0
生薑,133.0,110.0,83.0,116.0,75.0,100.0,83.0,100.0,133.0,100.0,83.0,108.0,83.0,94.0,83.0
芋頭,92.0,83.0,83.0,83.0,70.0,83.0,75.0,83.0,83.0,83.0,75.0,75.0,75.0,78.0,75.0
綠竹筍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
洋蔥,66.0,50.0,41.0,50.0,33.0,41.0,50.0,41.0,50.0,50.0,45.0,33.0,50.0,46.0,50.0
綠蘆筍,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筊白筍,217.0,200.0,183.0,183.0,166.0,200.0,217.0,200.0,233.0,200.0,200.0,0.0,0.0,0.0,0.0
大芥菜,83.0,58.0,58.0,66.0,50.0,66.0,58.0,58.0,58.0,66.0,67.0,50.0,42.0,54.0,42.0
青蒜,166.0,133.0,150.0,116.0,100.0,166.0,150.0,167.0,150.0,116.0,115.0,133.0,100.0,136.0,100.0
蒜頭,200.0,200.0,167.0,200.0,150.0,200.0,167.0,167.0,200.0,200.0,170.0,133.0,200.0,168.0,200.0
甘藍芽,166.0,116.0,100.0,100.0,100.0,133.0,133.0,100.0,133.0,100.0,0.0,0.0,100.0,0.0,100.0
芥藍,117.0,66.0,67.0,66.0,50.0,66.0,67.0,67.0,100.0,66.0,55.0,50.0,58.0,60.0,58.0
莧菜,100.0,60.0,58.0,58.0,41.0,66.0,67.0,67.0,66.0,66.0,55.0,50.0,50.0,62.0,50.0
本島萵苣,100.0,67.0,67.0,83.0,50.0,66.0,67.0,75.0,83.0,83.0,0.0,58.0,33.0,0.0,33.0
萵苣,83.0,66.0,58.0,66.0,41.0,83.0,58.0,58.0,66.0,66.0,83.0,50.0,42.0,0.0,42.0
茼蒿,100.0,83.0,92.0,100.0,66.0,83.0,83.0,100.0,83.0,66.0,100.0,75.0,50.0,76.0,50.0
青花苔,100.0,72.0,58.0,58.0,50.0,83.0,75.0,67.0,83.0,50.0,72.0,66.0,67.0,60.0,67.0
金針菜乾,533.0,533.0,533.0,533.0,533.0,533.0,580.0,533.0,533.0,533.0,533.0,666.0,750.0,0.0,750.0
冬瓜,50.0,33.0,33.0,33.0,25.0,33.0,33.0,41.0,41.0,41.0,25.0,33.0,30.0,32.0,30.0
扁蒲,66.0,50.0,58.0,41.0,33.0,50.0,33.0,58.0,41.0,41.0,33.0,38.0,50.0,0.0,50.0
甜碗豆,216.0,116.0,100.0,116.0,116.0,116.0,133.0,117.0,133.0,100.0,100.0,100.0,100.0,0.0,100.0
碗豆,216.0,117.0,117.0,133.0,116.0,116.0,133.0,117.0,133.0,133.0,117.0,116.0,100.0,0.0,100.0
甜玉米,83.0,50.0,58.0,50.0,41.0,66.0,50.0,58.0,66.0,50.0,58.0,50.0,42.0,48.0,42.0
香菇乾,833.0,1066.0,1170.0,1000.0,1000.0,1000.0,833.0,1330.0,1000.0,1000.0,1000.0,1333.0,1300.0,0.0,1166.0
香菇溼,217.0,183.0,150.0,166.0,150.0,166.0,167.0,167.0,200.0,183.0,150.0,166.0,167.0,160.0,167.0
黑色木耳,166.0,133.0,125.0,116.0,100.0,116.0,133.0,133.0,166.0,133.0,110.0,125.0,125.0,128.0,125.0
香蕉,66.0,66.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,0.0,65.0,56.0,65.0
鳳梨17號,33.0,41.0,41.0,41.0,33.0,50.0,33.0,41.0,41.0,41.0,42.0,0.0,32.0,36.0,32.0
番石榴世紀,75.0,58.0,0.0,66.0,58.0,50.0,75.0,0.0,66.0,66.0,50.0,0.0,65.0,0.0,65.0
木瓜,58.0,75.0,67.0,66.0,58.0,83.0,83.0,75.0,58.0,66.0,50.0,0.0,48.0,48.0,48.0
小西瓜,33.0,33.0,30.0,33.0,25.0,33.0,33.0,33.0,25.0,33.0,25.0,0.0,28.0,0.0,28.0
甜瓜,0.0,76.0,0.0,0.0,66.0,75.0,67.0,0.0,75.0,0.0,75.0,0.0,82.0,0.0,82.0
洋香瓜,92.0,78.0,83.0,75.0,66.0,75.0,100.0,83.0,75.0,83.0,70.0,0.0,98.0,87.0,98.0
海梨柑,58.0,0.0,58.0,66.0,0.0,0.0,75.0,0.0,0.0,0.0,58.0,0.0,48.0,0.0,48.0
文旦,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
柳橙,50.0,33.0,41.0,41.0,25.0,41.0,40.0,33.0,41.0,41.0,42.0,0.0,28.0,32.0,28.0
